Data
ROI#,ROI size,average localizer mask size,inter-subject overlap,Subject#1[1],Subject#1[2],Subject#1[3],Subject#2[1],Subject#2[2],Subject#2[3],Subject#3[1],Subject#3[2],Subject#3[3],Subject#4[1],Subject#4[2],Subject#4[3],Subject#5[1],Subject#5[2],Subject#5[3],Subject#6[1],Subject#6[2],Subject#6[3],Subject#7[1],Subject#7[2],Subject#7[3],Subject#8[1],Subject#8[2],Subject#8[3],Subject#9[1],Subject#9[2],Subject#9[3],Subject#10[1],Subject#10[2],Subject#10[3],Subject#11[1],Subject#11[2],Subject#11[3],Subject#12[1],Subject#12[2],Subject#12[3],Subject#13[1],Subject#13[2],Subject#13[3],Subject#14[1],Subject#14[2],Subject#14[3],Subject#15[1],Subject#15[2],Subject#15[3],Subject#16[1],Subject#16[2],Subject#16[3]
1,1885,188,1.000000,0.143173,-0.250741,0.393914,1.906136,0.609717,1.296419,-0.331055,-0.576915,0.245860,0.021685,-0.670543,0.692228,0.927108,0.588156,0.338953,0.363207,0.062725,0.300482,0.182291,0.596230,-0.413939,-0.234348,0.538444,-0.772792,-0.243788,-0.450490,0.206702,0.467448,-0.499440,0.966887,-1.263491,-1.759262,0.495772,2.666255,1.900908,0.765347,-0.142337,-0.973927,0.831590,-0.975383,-0.762953,-0.212430,2.212271,1.397489,0.814782,-1.054695,-0.984913,-0.069782
2,3322,332,1.000000,1.811841,1.263500,0.548340,2.220662,1.503677,0.716984,-0.548253,-1.207285,0.659031,0.223514,-0.123009,0.346522,1.273118,0.916512,0.356606,0.688265,0.461657,0.226608,0.262163,0.239499,0.022664,0.856876,0.823255,0.033622,-0.113984,-0.238927,0.124943,1.040791,0.327000,0.713791,-0.690931,-1.151222,0.460291,1.416894,1.244272,0.172623,-0.503982,-0.699959,0.195977,0.344914,0.207631,0.137283,1.560961,1.120831,0.440130,0.137200,-0.175220,0.312420
3,1525,152,1.000000,-0.477684,-0.646597,0.168913,0.710509,-1.411935,2.122445,-1.212343,-1.609015,0.396673,-0.544604,-0.921606,0.377002,0.132727,-0.665456,0.798183,-0.166372,-0.394718,0.228346,-0.462706,-0.057335,-0.405371,-0.826495,-0.068502,-0.757993,0.084897,0.350771,-0.265874,0.634199,-0.071850,0.706049,-1.687119,-2.057041,0.369923,0.998087,0.344313,0.653774,-0.725337,-1.548124,0.822787,-0.705098,-0.647734,-0.057365,1.107949,0.474230,0.633719,-0.818773,-0.970683,0.151910
4,4182,418,1.000000,-0.003133,-0.400983,0.397851,0.327062,-0.355745,0.682807,-0.739235,-0.882549,0.143314,0.316960,0.027477,0.289483,-0.047949,-0.541661,0.493713,-0.263431,-0.527950,0.264519,0.125020,0.163898,-0.038878,-0.117419,0.045180,-0.162599,-0.384009,-0.622425,0.238417,1.140083,0.477748,0.662336,-0.907000,-1.278105,0.371105,0.446712,0.072651,0.374061,-0.353521,-0.621785,0.268264,-0.540454,-0.658429,0.117974,-0.035747,-0.025753,-0.009995,-0.187819,-0.172236,-0.015582
5,3419,341,1.000000,-0.119379,-0.359072,0.239692,0.911246,-0.051368,0.962615,-1.211479,-1.627112,0.415633,0.050120,-0.249078,0.299197,-0.222737,-0.567561,0.344825,0.008865,-0.055472,0.064337,-0.049922,0.113475,-0.163396,-0.098012,0.208075,-0.306087,-0.029576,-0.162177,0.132601,0.856306,0.122700,0.733606,-0.590151,-0.872072,0.281921,0.318922,0.101054,0.217868,-0.551017,-0.782178,0.231162,-0.318677,-0.462900,0.144224,0.206679,0.147299,0.059379,-0.491273,-0.437913,-0.053361
6,1313,131,1.000000,-0.097391,-0.374298,0.276908,1.746003,0.972457,0.773546,-0.893929,-1.415186,0.521257,-0.560817,-0.647060,0.086243,-0.560791,-1.000180,0.439388,0.074729,-0.157028,0.231757,-0.586497,0.092934,-0.679431,0.272262,0.508761,-0.236499,-0.194375,-1.177865,0.983490,0.431214,0.035361,0.395852,-1.878156,-1.706846,-0.171310,1.104716,0.461474,0.643242,0.773193,0.174765,0.598428,-0.648105,-0.809114,0.161008,0.466963,-0.082142,0.549105,-0.693927,-0.721195,0.027267
7,4051,405,1.000000,0.664526,0.356449,0.308076,0.667731,-0.137902,0.805634,-0.260569,-0.462900,0.202330,0.268408,0.181047,0.087360,0.469165,0.442604,0.026562,0.299679,0.153018,0.146661,0.146138,0.316649,-0.170512,0.316154,0.499833,-0.183679,0.491310,0.505188,-0.013878,0.471612,-0.003434,0.475046,-0.071589,-0.224244,0.152655,0.983371,0.650091,0.333280,-0.028141,-0.079897,0.051756,-0.307358,-0.280504,-0.026853,0.316956,0.341878,-0.024922,0.096519,-0.129539,0.226058

Weights
ROI#,Subject#1,Subject#2,Subject#3,Subject#4,Subject#5,Subject#6,Subject#7,Subject#8,Subject#9,Subject#10,Subject#11,Subject#12,Subject#13,Subject#14,Subject#15,Subject#16
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
7,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000

quality control (localizer mask sizes)
Subject#,Session/Partition#,filename,ROI#1,ROI#2,ROI#3,ROI#4,ROI#5,ROI#6,ROI#7
1,1,/mindhive/evlab/u/Shared/SUBJECTS/288_FED_20170412b_3T2_PL2017/firstlevel_Cloudy/locT_0006_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
2,1,/mindhive/evlab/u/Shared/SUBJECTS/301_FED_20160121b_3T2_PL2017/firstlevel_Cloudy/locT_0006_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
3,1,/mindhive/evlab/u/Shared/SUBJECTS/334_FED_20161221a_3T2_PL2017/firstlevel_Cloudy/locT_0006_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
4,1,/mindhive/evlab/u/Shared/SUBJECTS/343_FED_20161208a_3T2_PL2017/firstlevel_Cloudy/locT_0006_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
5,1,/mindhive/evlab/u/Shared/SUBJECTS/366_FED_20161103a_3T1_PL2017/firstlevel_Cloudy/locT_0006_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
6,1,/mindhive/evlab/u/Shared/SUBJECTS/424_FED_20161228c_3T2_PL2017/firstlevel_Cloudy/locT_0006_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
7,1,/mindhive/evlab/u/Shared/SUBJECTS/426_FED_20161215c_3T2_PL2017/firstlevel_Cloudy/locT_0006_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
8,1,/mindhive/evlab/u/Shared/SUBJECTS/430_FED_20170426d_3T2_PL2017/firstlevel_Cloudy/locT_0006_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
9,1,/mindhive/evlab/u/Shared/SUBJECTS/520_FED_20161227a_3T2_PL2017/firstlevel_Cloudy/locT_0006_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
10,1,/mindhive/evlab/u/Shared/SUBJECTS/521_FED_20161228a_3T2_PL2017/firstlevel_Cloudy/locT_0006_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
11,1,/mindhive/evlab/u/Shared/SUBJECTS/551_FED_20170412a_3T2_PL2017/firstlevel_Cloudy/locT_0006_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
12,1,/mindhive/evlab/u/Shared/SUBJECTS/555_FED_20170426c_3T2_PL2017/firstlevel_Cloudy/locT_0006_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
13,1,/mindhive/evlab/u/Shared/SUBJECTS/571_FED_20170412c_3T2_PL2017/firstlevel_Cloudy/locT_0006_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
14,1,/mindhive/evlab/u/Shared/SUBJECTS/576_FED_20170414b_3T2_PL2017/firstlevel_Cloudy/locT_0006_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
15,1,/mindhive/evlab/u/Shared/SUBJECTS/577_FED_20170414c_3T2_PL2017/firstlevel_Cloudy/locT_0006_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
16,1,/mindhive/evlab/u/Shared/SUBJECTS/596_FED_20170426b_3T2_PL2017/firstlevel_Cloudy/locT_0006_percentile-ROI-level0.1.img,188,332,152,418,341,131,405
