Contrast name:,Group (ODD_joke-litEVEN_joke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[2;1],c[2;2],
,1.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],stderr[1;1],stderr[1;2],T/F,dof,p,p-fdr
1,370,37,1.000000,0.242039,0.330594,0.074112,0.105108,6.408217,19.000000,0.007464,0.044784
2,743,74,1.000000,0.058268,0.098190,0.049898,0.079888,1.187262,19.000000,0.326695,0.326695
3,462,46,1.000000,0.048430,0.119356,0.044394,0.067771,1.621121,19.000000,0.223853,0.268623
4,1627,162,1.000000,0.055010,0.111174,0.042353,0.054941,2.589550,19.000000,0.101269,0.190797
5,2948,294,1.000000,0.067645,0.100330,0.026456,0.062617,3.178223,19.000000,0.064464,0.190797
6,644,64,1.000000,0.068939,0.128050,0.039054,0.062996,2.302902,19.000000,0.127198,0.190797
