Contrast name:,Group (linear)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],
,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1885,188,1.000000,0.600320,0.113789,5.275738,19.000000,0.000022,0.000151
2,3322,332,1.000000,0.289125,0.066540,4.345132,19.000000,0.000174,0.000407
3,1525,152,1.000000,0.597181,0.123576,4.832499,19.000000,0.000058,0.000202
4,4182,418,1.000000,0.233258,0.059090,3.947470,19.000000,0.000432,0.000706
5,3419,341,1.000000,0.212973,0.074797,2.847349,19.000000,0.005151,0.006009
6,1313,131,1.000000,0.184620,0.103147,1.789881,19.000000,0.044712,0.044712
7,4051,405,1.000000,0.226813,0.058463,3.879587,19.000000,0.000504,0.000706
