Data,,,,,,,,,,,
ROI#,ROI size,Subject#1[bel-pho/bel-pho],Subject#2[bel-pho/bel-pho],Subject#3[bel-pho/bel-pho],Subject#4[bel-pho/bel-pho],Subject#5[bel-pho/bel-pho],Subject#6[bel-pho/bel-pho],Subject#7[bel-pho/bel-pho],Subject#8[bel-pho/bel-pho],Subject#9[bel-pho/bel-pho],Subject#10[bel-pho/bel-pho]
1,1885,0.169667,0.078854,-0.075957,0.331696,0.852758,-0.006021,-0.011914,0.257539,-0.200726,-0.197079
2,3322,-0.205239,-0.455578,-0.495572,0.400955,0.456435,-0.137683,-0.631305,0.327004,-0.059302,-0.35355
3,1525,-0.031447,-0.19678,0.031126,-0.036852,-0.279324,-0.060551,-0.213708,-0.058331,-0.160935,-0.117665
4,4182,-0.510475,-0.127761,-0.417179,0.084653,0.426806,-0.154837,0.310246,0.308427,-0.355325,-0.223207
5,3419,-0.065888,0.011073,-0.308965,0.443555,0.306119,0.658877,0.007351,0.077467,-0.164737,0.265286
6,1313,0.095896,-0.116433,0.029537,0.199016,0.418032,-0.061948,-0.165241,-0.007595,0.086114,-0.523878
7,4051,0.002936,-0.084166,-0.271787,0.184575,0.355929,0.093051,-0.169717,0.361287,-0.175251,0.036793
,,,,,,,,,,,
,AVERAGE,-0.077792857,-0.127255857,-0.215542429,0.229656857,0.362393571,0.047269714,-0.124898286,0.180828286,-0.147166,-0.159042857
