Contrast name:,Group (jokelitjoke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[2;1],c[2;2],c[2;3],c[3;1],c[3;2],c[3;3],
,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],h[1;3],stderr[1;1],stderr[1;2],stderr[1;3],T/F,dof,p,p-fdr
1,2948,50,1.000000,1.579313,1.440080,0.139233,0.181109,0.187272,0.042607,26.543449,18.000000,0.000001,0.000001
2,1627,50,1.000000,0.979654,0.846738,0.132916,0.092623,0.095222,0.032326,36.522141,18.000000,0.000000,0.000000
3,644,50,1.000000,0.741920,0.566459,0.175461,0.139223,0.108128,0.054918,8.688863,18.000000,0.000887,0.000887
4,743,50,1.000000,1.701615,1.526489,0.175126,0.159813,0.176834,0.066552,37.255565,18.000000,0.000000,0.000000
5,462,50,1.000000,1.767510,1.609393,0.158117,0.207322,0.212085,0.069517,22.429689,18.000000,0.000003,0.000003
6,370,50,1.000000,1.582836,1.302143,0.280693,0.151990,0.168193,0.088305,33.956976,18.000000,0.000000,0.000000
