Contrast name:,Group (joke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1885,188,1.000000,0.453820,0.105512,4.301110,19.000000,0.000193,0.000337
2,3322,332,1.000000,0.251293,0.043478,5.779784,19.000000,0.000007,0.000025
3,1525,152,1.000000,0.462661,0.106656,4.337898,19.000000,0.000177,0.000337
4,4182,418,1.000000,0.201297,0.033128,6.076320,19.000000,0.000004,0.000025
5,3419,341,1.000000,0.142787,0.051947,2.748715,19.000000,0.006385,0.006385
6,1313,131,1.000000,0.220962,0.073518,3.005536,19.000000,0.003636,0.004242
7,4051,405,1.000000,0.147639,0.045921,3.215087,19.000000,0.002279,0.003190
