"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","filename","fROIs","task","ind_selection_method"
"1","2948","294","1.000000","3.350260","1","1","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"2","1627","162","1.000000","1.784623","1","1","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"3","644","64","1.000000","1.801691","1","1","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"4","743","74","1.000000","1.750636","1","1","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"5","462","46","1.000000","2.401971","1","1","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"6","370","37","1.000000","1.823734","1","1","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"1","2948","294","1.000000","3.167150","1","2","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"2","1627","162","1.000000","1.756150","1","2","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"3","644","64","1.000000","1.586880","1","2","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"4","743","74","1.000000","1.828130","1","2","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"5","462","46","1.000000","2.374478","1","2","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"6","370","37","1.000000","1.688595","1","2","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"1","2948","294","1.000000","0.183110","1","3","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"2","1627","162","1.000000","0.028472","1","3","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"3","644","64","1.000000","0.214810","1","3","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"4","743","74","1.000000","-0.077494","1","3","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"5","462","46","1.000000","0.027494","1","3","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"6","370","37","1.000000","0.135139","1","3","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"1","2948","294","1.000000","0.870427","2","1","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"2","1627","162","1.000000","0.790657","2","1","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"3","644","64","1.000000","0.895223","2","1","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"4","743","74","1.000000","0.750022","2","1","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"5","462","46","1.000000","0.733973","2","1","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"6","370","37","1.000000","1.157004","2","1","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"1","2948","294","1.000000","0.662025","2","2","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"2","1627","162","1.000000","0.613153","2","2","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"3","644","64","1.000000","0.712652","2","2","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"4","743","74","1.000000","0.390008","2","2","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"5","462","46","1.000000","0.639210","2","2","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"6","370","37","1.000000","0.673091","2","2","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"1","2948","294","1.000000","0.208402","2","3","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"2","1627","162","1.000000","0.177504","2","3","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"3","644","64","1.000000","0.182571","2","3","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"4","743","74","1.000000","0.360014","2","3","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"5","462","46","1.000000","0.094764","2","3","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"6","370","37","1.000000","0.483913","2","3","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"1","2948","294","1.000000","0.808971","3","1","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"2","1627","162","1.000000","0.441653","3","1","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"3","644","64","1.000000","0.621892","3","1","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"4","743","74","1.000000","1.078357","3","1","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"5","462","46","1.000000","0.746733","3","1","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"6","370","37","1.000000","1.387993","3","1","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"1","2948","294","1.000000","0.701453","3","2","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"2","1627","162","1.000000","0.368192","3","2","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"3","644","64","1.000000","0.499906","3","2","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"4","743","74","1.000000","0.969168","3","2","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"5","462","46","1.000000","0.679067","3","2","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"6","370","37","1.000000","1.346074","3","2","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"1","2948","294","1.000000","0.107518","3","3","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"2","1627","162","1.000000","0.073461","3","3","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"3","644","64","1.000000","0.121986","3","3","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"4","743","74","1.000000","0.109189","3","3","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"5","462","46","1.000000","0.067666","3","3","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"6","370","37","1.000000","0.041919","3","3","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"1","2948","294","1.000000","1.790457","4","1","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"2","1627","162","1.000000","0.569641","4","1","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"3","644","64","1.000000","1.912503","4","1","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"4","743","74","1.000000","1.741543","4","1","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"5","462","46","1.000000","1.764132","4","1","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"6","370","37","1.000000","2.150737","4","1","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"1","2948","294","1.000000","1.308049","4","2","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"2","1627","162","1.000000","0.359884","4","2","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"3","644","64","1.000000","1.139264","4","2","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"4","743","74","1.000000","1.183326","4","2","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"5","462","46","1.000000","1.089647","4","2","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"6","370","37","1.000000","1.392191","4","2","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"1","2948","294","1.000000","0.482409","4","3","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"2","1627","162","1.000000","0.209757","4","3","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"3","644","64","1.000000","0.773239","4","3","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"4","743","74","1.000000","0.558217","4","3","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"5","462","46","1.000000","0.674485","4","3","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
"6","370","37","1.000000","0.758546","4","3","LangfROIs_resp_Jokes_20170703","LangfROIs","Jokes","Top10Percent"
