"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","filename","fROIs","task","ind_selection_method"
"1","2948","50","1.000000","4.211354","1","1","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"2","1627","50","1.000000","1.994397","1","1","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"3","644","50","1.000000","1.669396","1","1","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"4","743","50","1.000000","1.829651","1","1","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"5","462","50","1.000000","2.280974","1","1","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"6","370","50","1.000000","1.671405","1","1","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"1","2948","50","1.000000","4.555696","1","2","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"2","1627","50","1.000000","2.017669","1","2","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"3","644","50","1.000000","1.630627","1","2","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"4","743","50","1.000000","1.800970","1","2","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"5","462","50","1.000000","2.450203","1","2","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"6","370","50","1.000000","1.629273","1","2","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"1","2948","50","1.000000","5.428024","1","3","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"2","1627","50","1.000000","3.315098","1","3","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"3","644","50","1.000000","2.444137","1","3","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"4","743","50","1.000000","2.144409","1","3","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"5","462","50","1.000000","2.861675","1","3","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"6","370","50","1.000000","2.510226","1","3","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"1","2948","50","1.000000","1.216671","1","4","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"2","1627","50","1.000000","1.320701","1","4","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"3","644","50","1.000000","0.774741","1","4","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"4","743","50","1.000000","0.314759","1","4","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"5","462","50","1.000000","0.580701","1","4","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"6","370","50","1.000000","0.838822","1","4","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"1","2948","50","1.000000","0.698219","2","1","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"2","1627","50","1.000000","0.767449","2","1","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"3","644","50","1.000000","0.746080","2","1","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"4","743","50","1.000000","0.457501","2","1","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"5","462","50","1.000000","0.706202","2","1","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"6","370","50","1.000000","0.728368","2","1","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"1","2948","50","1.000000","0.880945","2","2","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"2","1627","50","1.000000","0.961487","2","2","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"3","644","50","1.000000","0.923455","2","2","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"4","743","50","1.000000","0.744825","2","2","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"5","462","50","1.000000","0.678472","2","2","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"6","370","50","1.000000","1.070342","2","2","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"1","2948","50","1.000000","0.505809","2","3","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
"2","1627","50","1.000000","0.652626","2","3","LangfROIs_resp_JokesCustom_Top50Voxels_20170720","LangfROIs","JokesCustom","Top50Voxels"
