"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","filename","fROIs","task","ind_selection_method"
"1","1885","188","1.000000","0.307386","1","1","ToMfROIS_resp_Jokes_20170720","ToMfROIS","Jokes","Top10Percent"
"2","3322","332","1.000000","1.462875","1","1","ToMfROIS_resp_Jokes_20170720","ToMfROIS","Jokes","Top10Percent"
"3","1525","152","1.000000","0.479748","1","1","ToMfROIS_resp_Jokes_20170720","ToMfROIS","Jokes","Top10Percent"
"4","4182","418","1.000000","0.699630","1","1","ToMfROIS_resp_Jokes_20170720","ToMfROIS","Jokes","Top10Percent"
"5","3419","341","1.000000","0.752917","1","1","ToMfROIS_resp_Jokes_20170720","ToMfROIS","Jokes","Top10Percent"
"6","1313","131","1.000000","0.766672","1","1","ToMfROIS_resp_Jokes_20170720","ToMfROIS","Jokes","Top10Percent"
"7","4051","405","1.000000","0.747823","1","1","ToMfROIS_resp_Jokes_20170720","ToMfROIS","Jokes","Top10Percent"
"1","1885","188","1.000000","-0.014281","1","2","ToMfROIS_resp_Jokes_20170720","ToMfROIS","Jokes","Top10Percent"
"2","3322","332","1.000000","1.200109","1","2","ToMfROIS_resp_Jokes_20170720","ToMfROIS","Jokes","Top10Percent"
"3","1525","152","1.000000","-0.314129","1","2","ToMfROIS_resp_Jokes_20170720","ToMfROIS","Jokes","Top10Percent"
"4","4182","418","1.000000","0.306477","1","2","ToMfROIS_resp_Jokes_20170720","ToMfROIS","Jokes","Top10Percent"
"5","3419","341","1.000000","0.281132","1","2","ToMfROIS_resp_Jokes_20170720","ToMfROIS","Jokes","Top10Percent"
"6","1313","131","1.000000","-0.333649","1","2","ToMfROIS_resp_Jokes_20170720","ToMfROIS","Jokes","Top10Percent"
"7","4051","405","1.000000","0.455566","1","2","ToMfROIS_resp_Jokes_20170720","ToMfROIS","Jokes","Top10Percent"
"1","1885","188","1.000000","0.321667","1","3","ToMfROIS_resp_Jokes_20170720","ToMfROIS","Jokes","Top10Percent"
"2","3322","332","1.000000","0.262765","1","3","ToMfROIS_resp_Jokes_20170720","ToMfROIS","Jokes","Top10Percent"
"3","1525","152","1.000000","0.793878","1","3","ToMfROIS_resp_Jokes_20170720","ToMfROIS","Jokes","Top10Percent"
"4","4182","418","1.000000","0.393153","1","3","ToMfROIS_resp_Jokes_20170720","ToMfROIS","Jokes","Top10Percent"
"5","3419","341","1.000000","0.471785","1","3","ToMfROIS_resp_Jokes_20170720","ToMfROIS","Jokes","Top10Percent"
"6","1313","131","1.000000","1.100321","1","3","ToMfROIS_resp_Jokes_20170720","ToMfROIS","Jokes","Top10Percent"
