Contrast name:,Group (ODD_joke-litEVEN_joke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[2;1],c[2;2],
,1.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],stderr[1;1],stderr[1;2],T/F,dof,p,p-fdr
1,370,37,1.000000,0.218160,0.331588,0.095709,0.112885,4.474580,19.000000,0.025566,0.030679
2,743,74,1.000000,0.107503,0.260811,0.078788,0.084535,4.684716,19.000000,0.022186,0.030679
3,462,46,1.000000,0.067661,0.263953,0.093653,0.106754,2.965760,19.000000,0.075691,0.075691
4,1627,162,1.000000,0.068798,0.171089,0.035855,0.041722,9.012149,19.000000,0.001768,0.010609
5,2948,294,1.000000,0.067820,0.180761,0.039880,0.067489,4.775625,19.000000,0.020880,0.030679
6,644,64,1.000000,0.094758,0.272649,0.062004,0.067749,7.697502,19.000000,0.003560,0.010680
