Contrast name:,Group (lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,0.000000,1.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1885,50,1.000000,-0.098635,0.269145,-0.366476,19.000000,0.640970,0.995004
2,3322,50,1.000000,0.478392,0.119117,4.016142,19.000000,0.000369,0.002585
3,1525,50,1.000000,-0.477306,0.166813,-2.861333,19.000000,0.995004,0.995004
4,4182,50,1.000000,-0.206853,0.077403,-2.672436,19.000000,0.992471,0.995004
5,3419,50,1.000000,-0.213199,0.122490,-1.740544,19.000000,0.951033,0.995004
6,1313,50,1.000000,0.133734,0.104447,1.280396,19.000000,0.107909,0.251787
7,4051,50,1.000000,0.160940,0.118297,1.360473,19.000000,0.094801,0.251787
