Overlap analyses (number-of-voxels intersection for each pair of localizer contrasts)

Contrast#1,Contrast#2
bel-pho,ment-pain

ROI#,Subject#1 size,Subject#1[1;1],Subject#1[1;2],Subject#1[2;2],Subject#2 size,Subject#2[1;1],Subject#2[1;2],Subject#2[2;2],Subject#3 size,Subject#3[1;1],Subject#3[1;2],Subject#3[2;2],Subject#4 size,Subject#4[1;1],Subject#4[1;2],Subject#4[2;2],Subject#5 size,Subject#5[1;1],Subject#5[1;2],Subject#5[2;2],Subject#6 size,Subject#6[1;1],Subject#6[1;2],Subject#6[2;2],Subject#7 size,Subject#7[1;1],Subject#7[1;2],Subject#7[2;2],Subject#8 size,Subject#8[1;1],Subject#8[1;2],Subject#8[2;2],Subject#9 size,Subject#9[1;1],Subject#9[1;2],Subject#9[2;2],Subject#10 size,Subject#10[1;1],Subject#10[1;2],Subject#10[2;2],Subject#11 size,Subject#11[1;1],Subject#11[1;2],Subject#11[2;2],Subject#12 size,Subject#12[1;1],Subject#12[1;2],Subject#12[2;2],Subject#13 size,Subject#13[1;1],Subject#13[1;2],Subject#13[2;2],Subject#14 size,Subject#14[1;1],Subject#14[1;2],Subject#14[2;2]
1,1885,188.000000,0.000000,12.000000,1885,188.000000,0.000000,25.000000,1885,188.000000,0.000000,13.000000,1885,188.000000,1.000000,93.000000,1885,188.000000,0.000000,13.000000,1885,188.000000,1.000000,19.000000,1885,188.000000,0.000000,55.000000,1885,188.000000,0.000000,6.000000,1885,188.000000,9.000000,53.000000,1885,188.000000,8.000000,82.000000,1885,188.000000,0.000000,14.000000,1885,188.000000,0.000000,0.000000,1885,188.000000,0.000000,29.000000,1885,188.000000,7.000000,66.000000
2,3322,332.000000,0.000000,38.000000,3322,332.000000,5.000000,15.000000,3322,332.000000,0.000000,34.000000,3322,332.000000,0.000000,43.000000,3322,332.000000,0.000000,64.000000,3322,332.000000,0.000000,0.000000,3322,332.000000,0.000000,17.000000,3322,332.000000,0.000000,0.000000,3322,332.000000,0.000000,4.000000,3322,332.000000,0.000000,48.000000,3322,332.000000,17.000000,65.000000,3322,332.000000,0.000000,20.000000,3322,332.000000,0.000000,39.000000,3322,332.000000,0.000000,0.000000
3,1525,152.000000,0.000000,12.000000,1525,152.000000,25.000000,51.000000,1525,152.000000,0.000000,15.000000,1525,152.000000,15.000000,45.000000,1525,152.000000,0.000000,13.000000,1525,152.000000,0.000000,18.000000,1525,152.000000,0.000000,0.000000,1525,152.000000,3.000000,50.000000,1525,152.000000,0.000000,35.000000,1525,152.000000,2.000000,32.000000,1525,152.000000,0.000000,9.000000,1525,152.000000,0.000000,4.000000,1525,152.000000,0.000000,25.000000,1525,152.000000,0.000000,17.000000
4,4182,418.000000,0.000000,52.000000,4182,418.000000,0.000000,66.000000,4182,418.000000,0.000000,136.000000,4182,418.000000,0.000000,69.000000,4182,418.000000,19.000000,102.000000,4182,418.000000,0.000000,71.000000,4182,418.000000,0.000000,53.000000,4182,418.000000,0.000000,12.000000,4182,418.000000,3.000000,47.000000,4182,418.000000,13.000000,226.000000,4182,418.000000,2.000000,83.000000,4182,418.000000,1.000000,18.000000,4182,418.000000,2.000000,14.000000,4182,418.000000,0.000000,63.000000
5,3419,341.000000,1.000000,72.000000,3419,341.000000,0.000000,0.000000,3419,341.000000,0.000000,18.000000,3419,341.000000,0.000000,21.000000,3419,341.000000,1.000000,25.000000,3419,341.000000,0.000000,17.000000,3419,341.000000,1.000000,56.000000,3419,341.000000,0.000000,0.000000,3419,341.000000,0.000000,1.000000,3419,341.000000,0.000000,2.000000,3419,341.000000,17.000000,28.000000,3419,341.000000,21.000000,44.000000,3419,341.000000,1.000000,44.000000,3419,341.000000,0.000000,21.000000
6,1313,131.000000,0.000000,0.000000,1313,131.000000,0.000000,2.000000,1313,131.000000,0.000000,0.000000,1313,131.000000,0.000000,0.000000,1313,131.000000,0.000000,0.000000,1313,131.000000,0.000000,0.000000,1313,131.000000,0.000000,0.000000,1313,131.000000,0.000000,0.000000,1313,131.000000,0.000000,2.000000,1313,131.000000,0.000000,6.000000,1313,131.000000,0.000000,0.000000,1313,131.000000,0.000000,0.000000,1313,131.000000,0.000000,0.000000,1313,131.000000,0.000000,0.000000
7,4051,405.000000,0.000000,0.000000,4051,405.000000,0.000000,0.000000,4051,405.000000,0.000000,1.000000,4051,405.000000,0.000000,0.000000,4051,405.000000,0.000000,1.000000,4051,405.000000,0.000000,0.000000,4051,405.000000,0.000000,11.000000,4051,405.000000,0.000000,1.000000,4051,405.000000,0.000000,0.000000,4051,405.000000,0.000000,7.000000,4051,405.000000,0.000000,4.000000,4051,405.000000,0.000000,0.000000,4051,405.000000,0.000000,36.000000,4051,405.000000,0.000000,4.000000
