Contrast name:,Group (EVEN_joke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],
,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1885,188,1.000000,0.504992,0.126235,4.000426,19.000000,0.000383,0.000670
2,3322,332,1.000000,0.314788,0.063424,4.963241,19.000000,0.000043,0.000232
3,1525,152,1.000000,0.545838,0.135064,4.041317,19.000000,0.000349,0.000670
4,4182,418,1.000000,0.249154,0.052204,4.772730,19.000000,0.000066,0.000232
5,3419,341,1.000000,0.198159,0.083230,2.380868,19.000000,0.013946,0.013946
6,1313,131,1.000000,0.283148,0.105356,2.687525,19.000000,0.007288,0.010203
7,4051,405,1.000000,0.164155,0.066525,2.467553,19.000000,0.011638,0.013578
