Contrast name:,Group (low)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],
,1.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,2948,50,1.000000,1.446809,0.177738,8.140127,20.000000,0.000000,0.000000
2,1627,50,1.000000,0.857124,0.089415,9.585874,20.000000,0.000000,0.000000
3,644,50,1.000000,0.588651,0.122200,4.817117,20.000000,0.000052,0.000052
4,743,50,1.000000,1.519558,0.167686,9.061916,20.000000,0.000000,0.000000
5,462,50,1.000000,1.585650,0.201095,7.885058,20.000000,0.000000,0.000000
6,370,50,1.000000,1.321483,0.150488,8.781302,20.000000,0.000000,0.000000
