Contrast name:,Group (bel-pho/bel-pho)
Within-subjects contrast matrix:,c[1;1],
,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,

Results
ROI#,ROI size,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1885,0.545401,0.087732,6.216657,9.000000,0.000078,0.000182
2,3322,0.810823,0.122224,6.633899,9.000000,0.000048,0.000167
3,1525,0.331600,0.109744,3.021585,9.000000,0.007221,0.008425
4,4182,0.530638,0.120490,4.403990,9.000000,0.000855,0.001197
5,3419,0.991611,0.118829,8.344860,9.000000,0.000008,0.000055
6,1313,0.241876,0.094825,2.550770,9.000000,0.015578,0.015578
7,4051,0.559025,0.123462,4.527905,9.000000,0.000715,0.001197
