ROI,Effect,MeanEffect,StdEffect,StderrEffect
DMPFC,joke,0.083886,0.322100,0.083166
DMPFC,lit,0.052981,0.202764,0.052354
DMPFC,joke-lit,0.030906,0.119342,0.030814
LTPJ,joke,0.055096,0.137400,0.035476
LTPJ,lit,-0.001693,0.122217,0.031556
LTPJ,joke-lit,0.056789,0.066468,0.017162
MMPFC,joke,0.148001,0.306589,0.079161
MMPFC,lit,0.028365,0.252644,0.065232
MMPFC,joke-lit,0.119636,0.131600,0.033979
PC,joke,0.047155,0.202557,0.052300
PC,lit,0.013033,0.171152,0.044191
PC,joke-lit,0.034122,0.099868,0.025786
RTPJ,joke,0.071133,0.226416,0.058460
RTPJ,lit,-0.013602,0.180327,0.046560
RTPJ,joke-lit,0.084736,0.125361,0.032368
VMPFC,joke,-0.102045,0.469626,0.121257
VMPFC,lit,-0.307451,0.424963,0.109725
VMPFC,joke-lit,0.205406,0.338528,0.087408
RSTS,joke,0.231730,0.198533,0.051261
RSTS,lit,0.177727,0.225579,0.058244
RSTS,joke-lit,0.054003,0.144401,0.037284
