ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
DMPFC,1885,188,1.000000,0.083886,0.083166,1.008662,14.000000,0.165126,0.223130
LTPJ,3322,332,1.000000,0.055096,0.035476,1.553040,14.000000,0.071361,0.166509
MMPFC,1525,152,1.000000,0.148001,0.079161,1.869618,14.000000,0.041298,0.144543
PC,4182,418,1.000000,0.047155,0.052300,0.901621,14.000000,0.191254,0.223130
RTPJ,3419,341,1.000000,0.071133,0.058460,1.216779,14.000000,0.121902,0.213328
VMPFC,1313,131,1.000000,-0.102045,0.121257,-0.841559,14.000000,0.792910,0.792910
RSTS,4051,405,1.000000,0.231730,0.051261,4.520581,14.000000,0.000240,0.001680
