Contrast name:,Group (low)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],
,1.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,2948,294,1.000000,0.241688,0.072821,3.318956,20.000000,0.001712,0.002074
2,1627,162,1.000000,0.429712,0.059608,7.208975,20.000000,0.000000,0.000002
3,644,64,1.000000,-0.024992,0.076262,-0.327711,20.000000,0.626732,0.626732
4,743,74,1.000000,0.546354,0.090890,6.011150,20.000000,0.000004,0.000011
5,462,46,1.000000,0.314794,0.094967,3.314775,20.000000,0.001729,0.002074
6,370,37,1.000000,0.659545,0.149798,4.402897,20.000000,0.000137,0.000274
