Contrast name:,Group (jokelitjoke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[2;1],c[2;2],c[2;3],c[3;1],c[3;2],c[3;3],
,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],h[1;3],stderr[1;1],stderr[1;2],stderr[1;3],T/F,dof,p,p-fdr
1,2948,294,1.000000,0.329504,0.247503,0.082001,0.078918,0.074279,0.036684,5.424210,18.000000,0.007773,0.009327
2,1627,162,1.000000,0.501725,0.420075,0.081650,0.062669,0.063098,0.033992,19.264149,18.000000,0.000008,0.000034
3,644,64,1.000000,0.065406,-0.029567,0.094973,0.083284,0.075242,0.040494,1.669447,18.000000,0.209084,0.209084
4,743,74,1.000000,0.642838,0.562040,0.080798,0.089632,0.097152,0.045826,15.835149,18.000000,0.000027,0.000055
5,462,46,1.000000,0.423465,0.340257,0.083209,0.098481,0.098420,0.041187,5.936960,18.000000,0.005336,0.008004
6,370,37,1.000000,0.956585,0.667687,0.288898,0.139798,0.156784,0.074876,18.095578,18.000000,0.000011,0.000034
