Contrast name:,Group (joke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,2948,294,1.000000,0.082001,0.036684,2.235330,20.000000,0.018480,0.027721
2,1627,162,1.000000,0.081650,0.033992,2.402029,20.000000,0.013068,0.027721
3,644,64,1.000000,0.094973,0.040494,2.345383,20.000000,0.014717,0.027721
4,743,74,1.000000,0.080798,0.045826,1.763131,20.000000,0.046576,0.046576
5,462,46,1.000000,0.083209,0.041187,2.020272,20.000000,0.028476,0.034171
6,370,37,1.000000,0.288898,0.074876,3.858329,20.000000,0.000490,0.002939
