Data
ROI#,ROI size,average localizer mask size,inter-subject overlap,Subject#1[1],Subject#1[2],Subject#1[3],Subject#2[1],Subject#2[2],Subject#2[3],Subject#3[1],Subject#3[2],Subject#3[3],Subject#4[1],Subject#4[2],Subject#4[3],Subject#5[1],Subject#5[2],Subject#5[3],Subject#6[1],Subject#6[2],Subject#6[3],Subject#7[1],Subject#7[2],Subject#7[3],Subject#8[1],Subject#8[2],Subject#8[3],Subject#9[1],Subject#9[2],Subject#9[3],Subject#10[1],Subject#10[2],Subject#10[3],Subject#11[1],Subject#11[2],Subject#11[3],Subject#12[1],Subject#12[2],Subject#12[3],Subject#13[1],Subject#13[2],Subject#13[3],Subject#14[1],Subject#14[2],Subject#14[3],Subject#15[1],Subject#15[2],Subject#15[3],Subject#16[1],Subject#16[2],Subject#16[3],Subject#17[1],Subject#17[2],Subject#17[3],Subject#18[1],Subject#18[2],Subject#18[3],Subject#19[1],Subject#19[2],Subject#19[3],Subject#20[1],Subject#20[2],Subject#20[3],Subject#21[1],Subject#21[2],Subject#21[3]
1,2948,294,1.000000,0.876568,0.468624,0.407944,0.612010,0.342814,0.269196,0.438550,0.313603,0.124947,0.401169,0.026785,0.374384,-0.254962,-0.308335,0.053373,0.737325,0.441687,0.295639,0.519989,0.510290,0.009699,0.678563,0.730799,-0.052236,0.632204,0.564057,0.068147,0.095178,0.378048,-0.282870,0.848898,0.784536,0.064362,0.080411,0.207599,-0.127188,0.743699,0.752054,-0.008355,0.114165,-0.189485,0.303650,-0.213358,-0.243077,0.029719,0.246999,0.134214,0.112785,0.075945,0.090389,-0.014444,0.413582,0.440025,-0.026443,0.160314,0.118902,0.041413,-0.081486,-0.153319,0.071832,-0.206176,-0.212647,0.006472
2,1627,162,1.000000,1.022659,0.939658,0.083001,0.452054,0.208757,0.243297,0.262215,0.171335,0.090880,0.278930,0.135920,0.143010,1.020237,0.895696,0.124541,0.921648,0.718251,0.203397,0.451972,0.534123,-0.082151,0.772534,0.770950,0.001583,0.638753,0.731450,-0.092697,0.232164,0.455787,-0.223623,0.138099,0.129719,0.008380,0.103314,0.171594,-0.068280,0.584219,0.482266,0.101953,0.550045,0.150826,0.399218,0.255332,0.315856,-0.060524,0.786346,0.547253,0.239093,0.330249,0.337616,-0.007366,0.779471,0.733807,0.045664,0.340204,0.320962,0.019242,0.250356,0.080671,0.169685,0.365418,-0.010931,0.376349
3,644,64,1.000000,0.483287,-0.034125,0.517412,-0.424237,-0.195677,-0.228560,0.053134,-0.029992,0.083126,-0.220221,-0.600491,0.380271,-0.408575,-0.695812,0.287236,0.621077,0.279910,0.341166,0.185075,0.194983,-0.009908,0.103855,0.174159,-0.070304,-0.047690,-0.042679,-0.005011,-0.036128,0.144443,-0.180571,-0.242385,-0.242083,-0.000302,-0.535366,-0.462960,-0.072406,0.265942,0.047838,0.218104,0.206159,0.058392,0.147766,-0.230238,-0.127038,-0.103200,0.125580,-0.019047,0.144627,1.158249,1.006926,0.151324,0.040019,-0.025804,0.065824,0.253294,0.124559,0.128735,-0.019889,-0.108872,0.088983,0.042580,-0.067544,0.110123
4,743,74,1.000000,1.125805,0.715122,0.410683,0.435686,0.429856,0.005830,0.921289,0.860106,0.061184,0.741460,0.293465,0.447995,0.175475,0.359629,-0.184154,1.330275,0.904529,0.425747,0.475483,0.726854,-0.251371,1.010722,1.225822,-0.215100,1.286057,1.483266,-0.197208,0.119725,0.027326,0.092399,0.598748,0.484320,0.114428,0.338059,0.364944,-0.026885,1.486611,1.528649,-0.042038,0.448161,0.132726,0.315435,0.600989,0.451916,0.149073,0.065935,-0.100808,0.166743,0.714238,0.687659,0.026579,0.421735,0.525331,-0.103596,0.375190,0.130652,0.244539,0.241615,0.161748,0.079866,0.586335,0.409735,0.176600
5,462,46,1.000000,0.456103,0.162546,0.293557,0.078656,0.064715,0.013940,0.832668,0.602975,0.229693,-0.029709,-0.228103,0.198394,-0.422640,-0.229203,-0.193438,1.144956,0.743597,0.401359,0.755969,0.738408,0.017560,1.030969,1.216434,-0.185465,0.294796,0.333937,-0.039142,0.562738,0.658671,-0.095932,0.583281,0.406431,0.176850,0.129596,0.185625,-0.056029,1.111580,1.150717,-0.039137,-0.010694,-0.004317,-0.006377,-0.028878,-0.131427,0.102549,0.317290,0.196581,0.120709,1.094078,1.115554,-0.021476,0.122401,0.169122,-0.046720,0.693292,0.125729,0.567563,0.108302,-0.076715,0.185017,0.068019,-0.055887,0.123906
6,370,37,1.000000,1.624487,1.072954,0.551533,1.579768,0.648422,0.931346,0.978478,0.786295,0.192183,1.479123,0.492749,0.986374,0.517397,0.631589,-0.114192,0.848072,0.395842,0.452230,1.008237,0.972087,0.036150,0.672793,0.546487,0.126306,2.740842,2.750686,-0.009845,0.700141,0.499933,0.200208,0.990757,0.965898,0.024859,0.391055,0.287321,0.103734,1.739918,2.055222,-0.315304,0.395558,-0.223666,0.619224,-0.345697,-0.804258,0.458562,0.944084,0.600470,0.343614,0.625014,0.577321,0.047693,0.777759,0.783084,-0.005324,0.287223,0.110095,0.177128,1.108033,0.463096,0.644938,1.025231,0.409795,0.615437

Weights
ROI#,Subject#1,Subject#2,Subject#3,Subject#4,Subject#5,Subject#6,Subject#7,Subject#8,Subject#9,Subject#10,Subject#11,Subject#12,Subject#13,Subject#14,Subject#15,Subject#16,Subject#17,Subject#18,Subject#19,Subject#20,Subject#21
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000

quality control (localizer mask sizes)
Subject#,Session/Partition#,filename,ROI#1,ROI#2,ROI#3,ROI#4,ROI#5,ROI#6
1,1,/mindhive/evlab/u/Shared/SUBJECTS/168_FED_20160107b_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
2,1,/mindhive/evlab/u/Shared/SUBJECTS/288_FED_20170412b_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
3,1,/mindhive/evlab/u/Shared/SUBJECTS/290_FED_20170426a_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
4,1,/mindhive/evlab/u/Shared/SUBJECTS/301_FED_20150708c_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
5,1,/mindhive/evlab/u/Shared/SUBJECTS/334_FED_20151119a_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
6,1,/mindhive/evlab/u/Shared/SUBJECTS/343_FED_20160107a_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
7,1,/mindhive/evlab/u/Shared/SUBJECTS/366_FED_20161103a_3T1/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
8,1,/mindhive/evlab/u/Shared/SUBJECTS/424_FED_20161102b_3T1/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
9,1,/mindhive/evlab/u/Shared/SUBJECTS/426_FED_20160908d_3T1/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
10,1,/mindhive/evlab/u/Shared/SUBJECTS/430_FED_20170426d_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
11,1,/mindhive/evlab/u/Shared/SUBJECTS/473_FED_20161102a_3T1/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
12,1,/mindhive/evlab/u/Shared/SUBJECTS/498_FED_20161121a_3T1/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
13,1,/mindhive/evlab/u/Shared/SUBJECTS/520_FED_20161227a_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
14,1,/mindhive/evlab/u/Shared/SUBJECTS/521_FED_20161228a_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
15,1,/mindhive/evlab/u/Shared/SUBJECTS/551_FED_20170412a_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
16,1,/mindhive/evlab/u/Shared/SUBJECTS/555_FED_20170426c_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
17,1,/mindhive/evlab/u/Shared/SUBJECTS/571_FED_20170412c_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
18,1,/mindhive/evlab/u/Shared/SUBJECTS/576_FED_20170414b_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
19,1,/mindhive/evlab/u/Shared/SUBJECTS/577_FED_20170414c_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
20,1,/mindhive/evlab/u/Shared/SUBJECTS/578_FED_20170414d_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
21,1,/mindhive/evlab/u/Shared/SUBJECTS/596_FED_20170426b_3T2/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,294,162,64,74,46,37
