Contrast name:,Group (H-E/H-E)
Within-subjects contrast matrix:,c[1;1],
,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,

Results
ROI#,ROI size,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,0.678480,0.157122,4.318184,11.000000,0.000609,0.001097
2,1399,0.701104,0.173314,4.045276,11.000000,0.000966,0.001337
3,4863,0.715716,0.139167,5.142844,11.000000,0.000161,0.001097
4,5104,0.838436,0.167174,5.015338,11.000000,0.000196,0.001097
5,888,0.452188,0.115567,3.912770,11.000000,0.001211,0.001504
6,1015,0.484003,0.145725,3.321340,11.000000,0.003408,0.003608
7,3526,0.664525,0.153660,4.324641,11.000000,0.000603,0.001097
8,3381,0.723332,0.163051,4.436240,11.000000,0.000501,0.001097
9,1858,0.510128,0.170973,2.983680,11.000000,0.006219,0.006219
10,1770,0.605169,0.155444,3.893171,11.000000,0.001253,0.001504
11,2147,0.621357,0.138288,4.493207,11.000000,0.000456,0.001097
12,2371,0.590052,0.155848,3.786079,11.000000,0.001508,0.001696
13,2447,0.669423,0.146445,4.571148,11.000000,0.000401,0.001097
14,1345,0.812708,0.172908,4.700244,11.000000,0.000325,0.001097
15,2065,0.911886,0.187554,4.861993,11.000000,0.000251,0.001097
16,2222,0.960159,0.235767,4.072498,11.000000,0.000922,0.001337
17,1615,0.665500,0.152095,4.375548,11.000000,0.000554,0.001097
18,1958,0.653677,0.160187,4.080721,11.000000,0.000909,0.001337
