Contrast name:,Group (mentpainment-pain)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[2;1],c[2;2],c[2;3],c[3;1],c[3;2],c[3;3],
,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],h[1;3],stderr[1;1],stderr[1;2],stderr[1;3],T/F,dof,p,p-fdr
1,1885,188,1.000000,-0.073258,-0.223677,0.150419,0.083155,0.060842,0.100193,4.034961,13.000000,0.031261,0.072942
2,3322,332,1.000000,-0.027183,0.550714,-0.577896,0.047420,0.127014,0.111646,8.212252,13.000000,0.002538,0.008883
3,1525,152,1.000000,-0.042347,-0.148050,0.105703,0.067535,0.063287,0.075285,1.589988,13.000000,0.239594,0.335431
4,4182,418,1.000000,-0.127305,-0.376120,0.248814,0.059546,0.083225,0.119052,10.812951,13.000000,0.000773,0.005410
5,3419,341,1.000000,0.044192,0.093748,-0.049556,0.020565,0.040832,0.047524,3.174572,13.000000,0.060214,0.105375
6,1313,131,1.000000,-0.040174,-0.033450,-0.006724,0.021324,0.052465,0.044160,1.100238,13.000000,0.384149,0.394327
7,4051,405,1.000000,-0.011383,-0.008076,-0.003307,0.010016,0.006870,0.013643,1.073526,13.000000,0.394327,0.394327
