Contrast name:,Group (HEH-E)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[2;1],c[2;2],c[2;3],c[3;1],c[3;2],c[3;3],
,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],h[1;3],stderr[1;1],stderr[1;2],stderr[1;3],T/F,dof,p,p-fdr
1,1038,103,1.000000,1.300780,0.603913,0.696867,0.292763,0.163892,0.152862,6.057332,12.000000,0.009417,0.010594
2,1399,139,1.000000,2.084442,1.046886,1.037556,0.226698,0.119260,0.183802,29.107494,12.000000,0.000009,0.000039
3,4863,486,1.000000,1.492018,0.432467,1.059551,0.256547,0.134943,0.204402,9.717547,12.000000,0.001561,0.002810
4,5104,510,1.000000,1.894791,0.660606,1.234185,0.332512,0.184868,0.254775,9.285621,12.000000,0.001881,0.003078
5,888,88,1.000000,0.699355,0.173112,0.526243,0.157464,0.131306,0.102688,8.533360,12.000000,0.002640,0.003656
6,1015,101,1.000000,0.964422,0.352152,0.612270,0.186192,0.117355,0.130054,7.988126,12.000000,0.003418,0.004395
7,3526,352,1.000000,2.224852,1.355230,0.869622,0.262763,0.158659,0.142736,21.924911,12.000000,0.000037,0.000111
8,3381,338,1.000000,2.286734,1.446135,0.840599,0.277114,0.185034,0.148673,19.957245,12.000000,0.000059,0.000151
9,1858,185,1.000000,0.809562,0.356555,0.453007,0.155913,0.075010,0.124383,8.803896,12.000000,0.002332,0.003498
10,1770,177,1.000000,0.902941,0.339025,0.563915,0.183469,0.096072,0.152829,7.185329,12.000000,0.005105,0.006126
11,2147,214,1.000000,1.306754,0.541054,0.765700,0.196294,0.110787,0.144204,12.708068,12.000000,0.000492,0.001107
12,2371,237,1.000000,1.392307,0.619531,0.772776,0.217175,0.132244,0.150601,11.743130,12.000000,0.000698,0.001395
13,2447,244,1.000000,1.865750,1.134861,0.730889,0.141440,0.077955,0.103817,65.807564,12.000000,0.000000,0.000002
14,1345,134,1.000000,1.989236,1.161391,0.827844,0.222453,0.141054,0.132182,23.480617,12.000000,0.000026,0.000094
15,2065,206,1.000000,3.183555,2.253466,0.930089,0.279712,0.214025,0.128927,37.158772,12.000000,0.000002,0.000021
16,2222,222,1.000000,2.945108,1.987849,0.957259,0.305069,0.191675,0.168563,31.235141,12.000000,0.000006,0.000036
17,1400,140,1.000000,0.201178,-0.095576,0.296753,0.129420,0.085543,0.111578,2.163287,12.000000,0.145430,0.153984
18,1313,131,1.000000,0.137708,-0.107985,0.245692,0.127080,0.075411,0.114058,1.687652,12.000000,0.222404,0.222404
