ROI#,Subject#1 size,Subject#1[1;1],Subject#1[1;2],Subject#1[2;2],Subject#2 size,Subject#2[1;1],Subject#2[1;2],Subject#2[2;2],Subject#3 size,Subject#3[1;1],Subject#3[1;2],Subject#3[2;2],Subject#4 size,Subject#4[1;1],Subject#4[1;2],Subject#4[2;2],Subject#5 size,Subject#5[1;1],Subject#5[1;2],Subject#5[2;2],Subject#6 size,Subject#6[1;1],Subject#6[1;2],Subject#6[2;2],Subject#7 size,Subject#7[1;1],Subject#7[1;2],Subject#7[2;2],Subject#8 size,Subject#8[1;1],Subject#8[1;2],Subject#8[2;2],Subject#9 size,Subject#9[1;1],Subject#9[1;2],Subject#9[2;2],Subject#10 size,Subject#10[1;1],Subject#10[1;2],Subject#10[2;2],Subject#11 size,Subject#11[1;1],Subject#11[1;2],Subject#11[2;2],Subject#12 size,Subject#12[1;1],Subject#12[1;2],Subject#12[2;2],Subject#13 size,Subject#13[1;1],Subject#13[1;2],Subject#13[2;2],Subject#14 size,Subject#14[1;1],Subject#14[1;2],Subject#14[2;2],Subject#15 size,Subject#15[1;1],Subject#15[1;2],Subject#15[2;2]
1,1885,188,24,188,1885,188,33,188,1885,188,18,188,1885,188,17,188,1885,188,47,188,1885,188,17,188,1885,188,17,188,1885,188,2,188,1885,188,32,188,1885,188,17,188,1885,188,50,188,1885,188,50,188,1885,188,45,188,1885,188,1,188,1885,188,17,188
2,3322,332,132,332,3322,332,65,332,3322,332,92,332,3322,332,40,332,3322,332,64,332,3322,332,75,332,3322,332,104,332,3322,332,10,332,3322,332,55,332,3322,332,6,332,3322,332,108,332,3322,332,64,332,3322,332,64,332,3322,332,36,332,3322,332,97,332
3,1525,152,44,152,1525,152,26,152,1525,152,29,152,1525,152,4,152,1525,152,40,152,1525,152,47,152,1525,152,13,152,1525,152,2,152,1525,152,26,152,1525,152,11,152,1525,152,31,152,1525,152,51,152,1525,152,9,152,1525,152,15,152,1525,152,14,152
4,4182,418,191,418,4182,418,43,418,4182,418,161,418,4182,418,107,418,4182,418,146,418,4182,418,57,418,4182,418,4,418,4182,418,0,418,4182,418,114,418,4182,418,44,418,4182,418,75,418,4182,418,126,418,4182,418,151,418,4182,418,83,418,4182,418,110,418
5,3419,341,117,341,3419,341,56,341,3419,341,64,341,3419,341,30,341,3419,341,124,341,3419,341,81,341,3419,341,113,341,3419,341,28,341,3419,341,58,341,3419,341,50,341,3419,341,163,341,3419,341,18,341,3419,341,88,341,3419,341,71,341,3419,341,105,341
6,1313,131,10,131,1313,131,0,131,1313,131,22,131,1313,131,0,131,1313,131,22,131,1313,131,1,131,1313,131,16,131,1313,131,0,131,1313,131,6,131,1313,131,32,131,1313,131,20,131,1313,131,55,131,1313,131,3,131,1313,131,1,131,1313,131,7,131
7,4051,405,109,405,4051,405,164,405,4051,405,100,405,4051,405,3,405,4051,405,193,405,4051,405,132,405,4051,405,66,405,4051,405,1,405,4051,405,23,405,4051,405,124,405,4051,405,139,405,4051,405,32,405,4051,405,80,405,4051,405,87,405,4051,405,31,405
