"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","filename","fROIs","task","ind_selection_method","pipeline"
"1","1885","188","1.000000","1.984194","1","1","ToMfROIS_resp_ToM_20170720","ToMfROIS","ToM","Top10Percent","Old_evlab_pipeline"
"2","3322","332","1.000000","1.324210","1","1","ToMfROIS_resp_ToM_20170720","ToMfROIS","ToM","Top10Percent","Old_evlab_pipeline"
"3","1525","152","1.000000","1.789069","1","1","ToMfROIS_resp_ToM_20170720","ToMfROIS","ToM","Top10Percent","Old_evlab_pipeline"
"4","4182","418","1.000000","1.216867","1","1","ToMfROIS_resp_ToM_20170720","ToMfROIS","ToM","Top10Percent","Old_evlab_pipeline"
"5","3419","341","1.000000","1.284300","1","1","ToMfROIS_resp_ToM_20170720","ToMfROIS","ToM","Top10Percent","Old_evlab_pipeline"
"6","1313","131","1.000000","1.692928","1","1","ToMfROIS_resp_ToM_20170720","ToMfROIS","ToM","Top10Percent","Old_evlab_pipeline"
"7","4051","405","1.000000","0.604084","1","1","ToMfROIS_resp_ToM_20170720","ToMfROIS","ToM","Top10Percent","Old_evlab_pipeline"
"1","1885","188","1.000000","-0.078345","1","2","ToMfROIS_resp_ToM_20170720","ToMfROIS","ToM","Top10Percent","Old_evlab_pipeline"
"2","3322","332","1.000000","0.694542","1","2","ToMfROIS_resp_ToM_20170720","ToMfROIS","ToM","Top10Percent","Old_evlab_pipeline"
"3","1525","152","1.000000","-0.062794","1","2","ToMfROIS_resp_ToM_20170720","ToMfROIS","ToM","Top10Percent","Old_evlab_pipeline"
"4","4182","418","1.000000","0.310709","1","2","ToMfROIS_resp_ToM_20170720","ToMfROIS","ToM","Top10Percent","Old_evlab_pipeline"
"5","3419","341","1.000000","0.403253","1","2","ToMfROIS_resp_ToM_20170720","ToMfROIS","ToM","Top10Percent","Old_evlab_pipeline"
"6","1313","131","1.000000","0.496433","1","2","ToMfROIS_resp_ToM_20170720","ToMfROIS","ToM","Top10Percent","Old_evlab_pipeline"
"7","4051","405","1.000000","0.142840","1","2","ToMfROIS_resp_ToM_20170720","ToMfROIS","ToM","Top10Percent","Old_evlab_pipeline"
