"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","filename","fROIs","task","ind_selection_method","pipeline"
"1","2948","50","1.000000","0.519195","1","1","RHLfROIs_resp_JokesCustom_Top50Voxels_20170720","RHLfROIs","JokesCustom","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","1.041862","1","1","RHLfROIs_resp_JokesCustom_Top50Voxels_20170720","RHLfROIs","JokesCustom","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","0.126892","1","1","RHLfROIs_resp_JokesCustom_Top50Voxels_20170720","RHLfROIs","JokesCustom","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","0.939631","1","1","RHLfROIs_resp_JokesCustom_Top50Voxels_20170720","RHLfROIs","JokesCustom","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","0.252793","1","1","RHLfROIs_resp_JokesCustom_Top50Voxels_20170720","RHLfROIs","JokesCustom","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","1.220324","1","1","RHLfROIs_resp_JokesCustom_Top50Voxels_20170720","RHLfROIs","JokesCustom","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","1.061812","1","2","RHLfROIs_resp_JokesCustom_Top50Voxels_20170720","RHLfROIs","JokesCustom","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","0.948785","1","2","RHLfROIs_resp_JokesCustom_Top50Voxels_20170720","RHLfROIs","JokesCustom","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","0.476012","1","2","RHLfROIs_resp_JokesCustom_Top50Voxels_20170720","RHLfROIs","JokesCustom","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","1.180983","1","2","RHLfROIs_resp_JokesCustom_Top50Voxels_20170720","RHLfROIs","JokesCustom","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","0.546979","1","2","RHLfROIs_resp_JokesCustom_Top50Voxels_20170720","RHLfROIs","JokesCustom","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","1.882831","1","2","RHLfROIs_resp_JokesCustom_Top50Voxels_20170720","RHLfROIs","JokesCustom","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","1.565049","1","3","RHLfROIs_resp_JokesCustom_Top50Voxels_20170720","RHLfROIs","JokesCustom","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","1.789918","1","3","RHLfROIs_resp_JokesCustom_Top50Voxels_20170720","RHLfROIs","JokesCustom","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","2.258356","1","3","RHLfROIs_resp_JokesCustom_Top50Voxels_20170720","RHLfROIs","JokesCustom","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","1.603948","1","3","RHLfROIs_resp_JokesCustom_Top50Voxels_20170720","RHLfROIs","JokesCustom","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","0.784998","1","3","RHLfROIs_resp_JokesCustom_Top50Voxels_20170720","RHLfROIs","JokesCustom","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","2.442861","1","3","RHLfROIs_resp_JokesCustom_Top50Voxels_20170720","RHLfROIs","JokesCustom","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","1.045854","1","4","RHLfROIs_resp_JokesCustom_Top50Voxels_20170720","RHLfROIs","JokesCustom","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","0.748056","1","4","RHLfROIs_resp_JokesCustom_Top50Voxels_20170720","RHLfROIs","JokesCustom","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","2.131464","1","4","RHLfROIs_resp_JokesCustom_Top50Voxels_20170720","RHLfROIs","JokesCustom","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","0.664317","1","4","RHLfROIs_resp_JokesCustom_Top50Voxels_20170720","RHLfROIs","JokesCustom","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","0.532204","1","4","RHLfROIs_resp_JokesCustom_Top50Voxels_20170720","RHLfROIs","JokesCustom","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","1.222538","1","4","RHLfROIs_resp_JokesCustom_Top50Voxels_20170720","RHLfROIs","JokesCustom","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","0.565938","2","1","RHLfROIs_resp_JokesCustom_Top50Voxels_20170720","RHLfROIs","JokesCustom","Top50Voxels","Old_evlab_pipeline"
