filename,SubjectNumber,ROI,ROI.size,average.localizer.mask.size,inter.subject.overlap,sigChange,Contrast,fROIs,task,ind_selection_method,pipeline,participantID,Evlab_SubNo
CloudyToMfROIS_mentpain_resp_Jokes_PL2017_20180314,1,1,1885,188,1,0.143173,1,CloudyToMfROIS,Jokes,Top10Percent,PL2017,288_FED_20170412b_3T2_PL2017,288
CloudyToMfROIS_mentpain_resp_Jokes_PL2017_20180314,1,2,3322,332,1,1.811841,1,CloudyToMfROIS,Jokes,Top10Percent,PL2017,288_FED_20170412b_3T2_PL2017,288
CloudyToMfROIS_mentpain_resp_Jokes_PL2017_20180314,1,3,1525,152,1,-0.477684,1,CloudyToMfROIS,Jokes,Top10Percent,PL2017,288_FED_20170412b_3T2_PL2017,288
CloudyToMfROIS_mentpain_resp_Jokes_PL2017_20180314,1,4,4182,418,1,-0.003133,1,CloudyToMfROIS,Jokes,Top10Percent,PL2017,288_FED_20170412b_3T2_PL2017,288
CloudyToMfROIS_mentpain_resp_Jokes_PL2017_20180314,1,5,3419,341,1,-0.119379,1,CloudyToMfROIS,Jokes,Top10Percent,PL2017,288_FED_20170412b_3T2_PL2017,288
CloudyToMfROIS_mentpain_resp_Jokes_PL2017_20180314,1,6,1313,131,1,-0.097391,1,CloudyToMfROIS,Jokes,Top10Percent,PL2017,288_FED_20170412b_3T2_PL2017,288
CloudyToMfROIS_mentpain_resp_Jokes_PL2017_20180314,1,7,4051,405,1,0.664526,1,CloudyToMfROIS,Jokes,Top10Percent,PL2017,288_FED_20170412b_3T2_PL2017,288
CloudyToMfROIS_mentpain_resp_Jokes_PL2017_20180314,1,1,1885,188,1,-0.250741,2,CloudyToMfROIS,Jokes,Top10Percent,PL2017,288_FED_20170412b_3T2_PL2017,288
CloudyToMfROIS_mentpain_resp_Jokes_PL2017_20180314,1,2,3322,332,1,1.2635,2,CloudyToMfROIS,Jokes,Top10Percent,PL2017,288_FED_20170412b_3T2_PL2017,288
CloudyToMfROIS_mentpain_resp_Jokes_PL2017_20180314,1,3,1525,152,1,-0.646597,2,CloudyToMfROIS,Jokes,Top10Percent,PL2017,288_FED_20170412b_3T2_PL2017,288
CloudyToMfROIS_mentpain_resp_Jokes_PL2017_20180314,1,4,4182,418,1,-0.400983,2,CloudyToMfROIS,Jokes,Top10Percent,PL2017,288_FED_20170412b_3T2_PL2017,288
CloudyToMfROIS_mentpain_resp_Jokes_PL2017_20180314,1,5,3419,341,1,-0.359072,2,CloudyToMfROIS,Jokes,Top10Percent,PL2017,288_FED_20170412b_3T2_PL2017,288
CloudyToMfROIS_mentpain_resp_Jokes_PL2017_20180314,1,6,1313,131,1,-0.374298,2,CloudyToMfROIS,Jokes,Top10Percent,PL2017,288_FED_20170412b_3T2_PL2017,288
