"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","filename","fROIs","task","ind_selection_method","pipeline"
"4","743","50","1.000000","0.377109","2","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","0.089298","2","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","0.444389","2","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","1.159838","3","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","0.567903","3","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","0.617245","3","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","1.077293","3","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","0.734627","3","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","1.300278","3","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","0.992468","3","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","0.482266","3","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","0.497168","3","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","0.973300","3","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","0.664478","3","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","1.259714","3","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","0.167371","3","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","0.085637","3","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","0.120077","3","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","0.103992","3","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","0.070150","3","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","0.040564","3","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","1.510593","4","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","0.496040","4","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","2.081776","4","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","1.739001","4","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","1.723725","4","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","2.044810","4","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","1.174111","4","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","0.220360","4","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","1.225237","4","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","1.200508","4","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","1.062532","4","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","1.321909","4","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","0.336483","4","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","0.275680","4","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","0.856540","4","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","0.538493","4","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","0.661193","4","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","0.722901","4","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","1.703050","5","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","1.313604","5","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","1.275164","5","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","2.327617","5","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","0.622289","5","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
