"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","filename","fROIs","task","ind_selection_method","pipeline"
"1","2948","294","1.000000","0.541414","1","1","RHLfROIs_resp_JokesCustom_20170720","RHLfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"2","1627","162","1.000000","0.968058","1","1","RHLfROIs_resp_JokesCustom_20170720","RHLfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"3","644","64","1.000000","0.102293","1","1","RHLfROIs_resp_JokesCustom_20170720","RHLfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"4","743","74","1.000000","0.830378","1","1","RHLfROIs_resp_JokesCustom_20170720","RHLfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"5","462","46","1.000000","0.249946","1","1","RHLfROIs_resp_JokesCustom_20170720","RHLfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"6","370","37","1.000000","1.224473","1","1","RHLfROIs_resp_JokesCustom_20170720","RHLfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"1","2948","294","1.000000","1.019419","1","2","RHLfROIs_resp_JokesCustom_20170720","RHLfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"2","1627","162","1.000000","0.799336","1","2","RHLfROIs_resp_JokesCustom_20170720","RHLfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"3","644","64","1.000000","0.472612","1","2","RHLfROIs_resp_JokesCustom_20170720","RHLfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"4","743","74","1.000000","1.116967","1","2","RHLfROIs_resp_JokesCustom_20170720","RHLfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"5","462","46","1.000000","0.528894","1","2","RHLfROIs_resp_JokesCustom_20170720","RHLfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"6","370","37","1.000000","1.820994","1","2","RHLfROIs_resp_JokesCustom_20170720","RHLfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"1","2948","294","1.000000","1.552186","1","3","RHLfROIs_resp_JokesCustom_20170720","RHLfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"2","1627","162","1.000000","1.584259","1","3","RHLfROIs_resp_JokesCustom_20170720","RHLfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"3","644","64","1.000000","2.272777","1","3","RHLfROIs_resp_JokesCustom_20170720","RHLfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
