"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","filename","fROIs","task","ind_selection_method","pipeline"
"1","370","37","1.000000","-0.001095","1","1","SplitHalf_LangfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent","Old_evlab_pipeline"
"2","743","74","1.000000","-0.195295","1","1","SplitHalf_LangfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent","Old_evlab_pipeline"
"3","462","46","1.000000","-0.142808","1","1","SplitHalf_LangfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent","Old_evlab_pipeline"
"4","1627","162","1.000000","-0.155230","1","1","SplitHalf_LangfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent","Old_evlab_pipeline"
"5","2948","294","1.000000","0.041848","1","1","SplitHalf_LangfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent","Old_evlab_pipeline"
"6","644","64","1.000000","0.050680","1","1","SplitHalf_LangfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent","Old_evlab_pipeline"
"1","370","37","1.000000","0.407608","1","2","SplitHalf_LangfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent","Old_evlab_pipeline"
"2","743","74","1.000000","0.158109","1","2","SplitHalf_LangfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent","Old_evlab_pipeline"
"3","462","46","1.000000","0.368097","1","2","SplitHalf_LangfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent","Old_evlab_pipeline"
"4","1627","162","1.000000","0.395876","1","2","SplitHalf_LangfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent","Old_evlab_pipeline"
"5","2948","294","1.000000","0.465633","1","2","SplitHalf_LangfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent","Old_evlab_pipeline"
"6","644","64","1.000000","0.543070","1","2","SplitHalf_LangfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent","Old_evlab_pipeline"
"1","370","37","1.000000","0.637964","2","1","SplitHalf_LangfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent","Old_evlab_pipeline"
"2","743","74","1.000000","0.476882","2","1","SplitHalf_LangfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent","Old_evlab_pipeline"
"3","462","46","1.000000","0.279979","2","1","SplitHalf_LangfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent","Old_evlab_pipeline"
"4","1627","162","1.000000","0.227916","2","1","SplitHalf_LangfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent","Old_evlab_pipeline"
"5","2948","294","1.000000","0.252475","2","1","SplitHalf_LangfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent","Old_evlab_pipeline"
"6","644","64","1.000000","0.158279","2","1","SplitHalf_LangfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent","Old_evlab_pipeline"
"1","370","37","1.000000","0.175812","2","2","SplitHalf_LangfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent","Old_evlab_pipeline"
"2","743","74","1.000000","0.126278","2","2","SplitHalf_LangfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent","Old_evlab_pipeline"
"3","462","46","1.000000","-0.275667","2","2","SplitHalf_LangfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent","Old_evlab_pipeline"
"4","1627","162","1.000000","0.076680","2","2","SplitHalf_LangfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent","Old_evlab_pipeline"
"5","2948","294","1.000000","0.120255","2","2","SplitHalf_LangfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent","Old_evlab_pipeline"
"6","644","64","1.000000","0.231154","2","2","SplitHalf_LangfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent","Old_evlab_pipeline"
"1","370","37","1.000000","-0.074422","3","1","SplitHalf_LangfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent","Old_evlab_pipeline"
"2","743","74","1.000000","0.093857","3","1","SplitHalf_LangfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent","Old_evlab_pipeline"
"3","462","46","1.000000","0.075638","3","1","SplitHalf_LangfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent","Old_evlab_pipeline"
