"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","filename","fROIs","task","ind_selection_method","pipeline"
"1","1038","103","1.000000","0.683870","1","1","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"2","1399","139","1.000000","1.614126","1","1","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"3","4863","486","1.000000","0.663130","1","1","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"4","5104","510","1.000000","0.819137","1","1","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"5","888","88","1.000000","0.574695","1","1","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"6","1015","101","1.000000","0.597761","1","1","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"7","3526","352","1.000000","0.751802","1","1","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"8","3381","338","1.000000","0.309156","1","1","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"9","1858","185","1.000000","0.659837","1","1","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"10","1770","177","1.000000","1.290206","1","1","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"11","2147","214","1.000000","0.675871","1","1","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"12","2371","237","1.000000","0.760543","1","1","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"13","2447","244","1.000000","0.654154","1","1","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"14","1345","134","1.000000","0.255844","1","1","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"15","2065","206","1.000000","2.691189","1","1","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"16","2222","222","1.000000","0.527417","1","1","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"17","1615","161","1.000000","-0.139047","1","1","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"18","1958","195","1.000000","0.264592","1","1","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"1","1038","103","1.000000","1.016574","1","2","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"2","1399","139","1.000000","2.362022","1","2","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"3","4863","486","1.000000","1.035671","1","2","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"4","5104","510","1.000000","0.463337","1","2","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"5","888","88","1.000000","-1.752488","1","2","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"6","1015","101","1.000000","-0.814619","1","2","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"7","3526","352","1.000000","1.220592","1","2","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"8","3381","338","1.000000","0.737843","1","2","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"9","1858","185","1.000000","0.969900","1","2","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"10","1770","177","1.000000","1.540953","1","2","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"11","2147","214","1.000000","1.128786","1","2","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"12","2371","237","1.000000","1.404887","1","2","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"13","2447","244","1.000000","1.062107","1","2","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"14","1345","134","1.000000","0.595539","1","2","MDfROIs_resp_JokesCustom_20170726","MDfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
