"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","filename","fROIs","task","ind_selection_method","pipeline"
"1","2948","50","1.000000","0.873689","1","1","RHLfROIs_resp_Jokes_Top50Voxels_20170703","RHLfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","1.115234","1","1","RHLfROIs_resp_Jokes_Top50Voxels_20170703","RHLfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","0.496417","1","1","RHLfROIs_resp_Jokes_Top50Voxels_20170703","RHLfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","1.221590","1","1","RHLfROIs_resp_Jokes_Top50Voxels_20170703","RHLfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","0.465335","1","1","RHLfROIs_resp_Jokes_Top50Voxels_20170703","RHLfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","1.668338","1","1","RHLfROIs_resp_Jokes_Top50Voxels_20170703","RHLfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","0.450593","1","2","RHLfROIs_resp_Jokes_Top50Voxels_20170703","RHLfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","1.019884","1","2","RHLfROIs_resp_Jokes_Top50Voxels_20170703","RHLfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","-0.005383","1","2","RHLfROIs_resp_Jokes_Top50Voxels_20170703","RHLfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","0.823039","1","2","RHLfROIs_resp_Jokes_Top50Voxels_20170703","RHLfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","0.165108","1","2","RHLfROIs_resp_Jokes_Top50Voxels_20170703","RHLfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","1.070481","1","2","RHLfROIs_resp_Jokes_Top50Voxels_20170703","RHLfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","0.423096","1","3","RHLfROIs_resp_Jokes_Top50Voxels_20170703","RHLfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","0.095350","1","3","RHLfROIs_resp_Jokes_Top50Voxels_20170703","RHLfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","0.501801","1","3","RHLfROIs_resp_Jokes_Top50Voxels_20170703","RHLfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","0.398551","1","3","RHLfROIs_resp_Jokes_Top50Voxels_20170703","RHLfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","0.300227","1","3","RHLfROIs_resp_Jokes_Top50Voxels_20170703","RHLfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","0.597857","1","3","RHLfROIs_resp_Jokes_Top50Voxels_20170703","RHLfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","0.883710","2","1","RHLfROIs_resp_Jokes_Top50Voxels_20170703","RHLfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","0.564157","2","1","RHLfROIs_resp_Jokes_Top50Voxels_20170703","RHLfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","-0.425131","2","1","RHLfROIs_resp_Jokes_Top50Voxels_20170703","RHLfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
