filename,SubjectNumber,participantID,Evlab_SubNo
CloudyToMfROIS_mentpain_resp_JokesCustom_PL2017_20180314,15,577_FED_20170414c_3T2_PL2017,577
CloudyToMfROIS_mentpain_resp_JokesCustom_PL2017_20180314,16,596_FED_20170426b_3T2_PL2017,596
LangfROIs_resp_Jokes_20170703,1,168_FED_20161228b_3T2,168
LangfROIs_resp_Jokes_20170703,2,288_FED_20170412b_3T2,288
LangfROIs_resp_Jokes_20170703,3,290_FED_20170426a_3T2,290
LangfROIs_resp_Jokes_20170703,4,301_FED_20161217b_3T2,301
LangfROIs_resp_Jokes_20170703,5,334_FED_20161221a_3T2,334
LangfROIs_resp_Jokes_20170703,6,343_FED_20161208a_3T2,343
LangfROIs_resp_Jokes_20170703,7,366_FED_20161205a_3T2,366
LangfROIs_resp_Jokes_20170703,8,424_FED_20161228c_3T2,424
LangfROIs_resp_Jokes_20170703,9,430_FED_20170426d_3T2,430
LangfROIs_resp_Jokes_20170703,10,473_FED_20170210b_3T2,473
LangfROIs_resp_Jokes_20170703,11,498_FED_20170210c_3T2,498
LangfROIs_resp_Jokes_20170703,12,520_FED_20161227a_3T2,520
LangfROIs_resp_Jokes_20170703,13,521_FED_20161228a_3T2,521
LangfROIs_resp_Jokes_20170703,14,551_FED_20170412a_3T2,551
LangfROIs_resp_Jokes_20170703,15,555_FED_20170426c_3T2,555
LangfROIs_resp_Jokes_20170703,16,571_FED_20170412c_3T2,571
LangfROIs_resp_Jokes_20170703,17,576_FED_20170414b_3T2,576
LangfROIs_resp_Jokes_20170703,18,577_FED_20170414c_3T2,577
LangfROIs_resp_Jokes_20170703,19,578_FED_20170414d_3T2,578
LangfROIs_resp_Jokes_20170703,20,426_FED_20161215c_3T2,426
LangfROIs_resp_Jokes_20170703,21,596_FED_20170426b_3T2,596
LangfROIs_resp_Jokes_Top50Voxels_20170703,1,168_FED_20161228b_3T2,168
LangfROIs_resp_Jokes_Top50Voxels_20170703,2,288_FED_20170412b_3T2,288
LangfROIs_resp_Jokes_Top50Voxels_20170703,3,290_FED_20170426a_3T2,290
LangfROIs_resp_Jokes_Top50Voxels_20170703,4,301_FED_20161217b_3T2,301
LangfROIs_resp_Jokes_Top50Voxels_20170703,5,334_FED_20161221a_3T2,334
LangfROIs_resp_Jokes_Top50Voxels_20170703,6,343_FED_20161208a_3T2,343
LangfROIs_resp_Jokes_Top50Voxels_20170703,7,366_FED_20161205a_3T2,366
LangfROIs_resp_Jokes_Top50Voxels_20170703,8,424_FED_20161228c_3T2,424
LangfROIs_resp_Jokes_Top50Voxels_20170703,9,426_FED_20161215c_3T2,426
LangfROIs_resp_Jokes_Top50Voxels_20170703,10,430_FED_20170426d_3T2,430
LangfROIs_resp_Jokes_Top50Voxels_20170703,11,473_FED_20170210b_3T2,473
LangfROIs_resp_Jokes_Top50Voxels_20170703,12,498_FED_20170210c_3T2,498
LangfROIs_resp_Jokes_Top50Voxels_20170703,13,520_FED_20161227a_3T2,520
LangfROIs_resp_Jokes_Top50Voxels_20170703,14,521_FED_20161228a_3T2,521
LangfROIs_resp_Jokes_Top50Voxels_20170703,15,551_FED_20170412a_3T2,551
LangfROIs_resp_Jokes_Top50Voxels_20170703,16,555_FED_20170426c_3T2,555
LangfROIs_resp_Jokes_Top50Voxels_20170703,17,571_FED_20170412c_3T2,571
LangfROIs_resp_Jokes_Top50Voxels_20170703,18,576_FED_20170414b_3T2,576
LangfROIs_resp_Jokes_Top50Voxels_20170703,19,577_FED_20170414c_3T2,577
LangfROIs_resp_Jokes_Top50Voxels_20170703,20,578_FED_20170414d_3T2,578
LangfROIs_resp_Jokes_Top50Voxels_20170703,21,596_FED_20170426b_3T2,596
LangfROIs_resp_JokesCustom_20170720,1,168_FED_20161228b_3T2,168
LangfROIs_resp_JokesCustom_20170720,2,288_FED_20170412b_3T2,288
LangfROIs_resp_JokesCustom_20170720,3,290_FED_20170426a_3T2,290
LangfROIs_resp_JokesCustom_20170720,4,301_FED_20161217b_3T2,301
LangfROIs_resp_JokesCustom_20170720,5,334_FED_20161221a_3T2,334
LangfROIs_resp_JokesCustom_20170720,6,343_FED_20161208a_3T2,343
LangfROIs_resp_JokesCustom_20170720,7,366_FED_20161205a_3T2,366
LangfROIs_resp_JokesCustom_20170720,8,424_FED_20161228c_3T2,424
LangfROIs_resp_JokesCustom_20170720,9,430_FED_20170426d_3T2,430
LangfROIs_resp_JokesCustom_20170720,10,473_FED_20170210b_3T2,473
LangfROIs_resp_JokesCustom_20170720,11,498_FED_20170210c_3T2,498
LangfROIs_resp_JokesCustom_20170720,12,520_FED_20161227a_3T2,520
LangfROIs_resp_JokesCustom_20170720,13,521_FED_20161228a_3T2,521
LangfROIs_resp_JokesCustom_20170720,14,551_FED_20170412a_3T2,551
LangfROIs_resp_JokesCustom_20170720,15,555_FED_20170426c_3T2,555
LangfROIs_resp_JokesCustom_20170720,16,571_FED_20170412c_3T2,571
LangfROIs_resp_JokesCustom_20170720,17,576_FED_20170414b_3T2,576
LangfROIs_resp_JokesCustom_20170720,18,577_FED_20170414c_3T2,577
LangfROIs_resp_JokesCustom_20170720,19,578_FED_20170414d_3T2,578
LangfROIs_resp_JokesCustom_20170720,20,426_FED_20161215c_3T2,426
LangfROIs_resp_JokesCustom_20170720,21,596_FED_20170426b_3T2,596
LangfROIs_resp_JokesCustom_Top50Voxels_20170720,1,168_FED_20161228b_3T2,168
LangfROIs_resp_JokesCustom_Top50Voxels_20170720,2,288_FED_20170412b_3T2,288
LangfROIs_resp_JokesCustom_Top50Voxels_20170720,3,290_FED_20170426a_3T2,290
LangfROIs_resp_JokesCustom_Top50Voxels_20170720,4,301_FED_20161217b_3T2,301
LangfROIs_resp_JokesCustom_Top50Voxels_20170720,5,334_FED_20161221a_3T2,334
LangfROIs_resp_JokesCustom_Top50Voxels_20170720,6,343_FED_20161208a_3T2,343
LangfROIs_resp_JokesCustom_Top50Voxels_20170720,7,366_FED_20161205a_3T2,366
LangfROIs_resp_JokesCustom_Top50Voxels_20170720,8,424_FED_20161228c_3T2,424
LangfROIs_resp_JokesCustom_Top50Voxels_20170720,9,426_FED_20161215c_3T2,426
LangfROIs_resp_JokesCustom_Top50Voxels_20170720,10,430_FED_20170426d_3T2,430
LangfROIs_resp_JokesCustom_Top50Voxels_20170720,11,473_FED_20170210b_3T2,473
LangfROIs_resp_JokesCustom_Top50Voxels_20170720,12,498_FED_20170210c_3T2,498
LangfROIs_resp_JokesCustom_Top50Voxels_20170720,13,520_FED_20161227a_3T2,520
LangfROIs_resp_JokesCustom_Top50Voxels_20170720,14,521_FED_20161228a_3T2,521
LangfROIs_resp_JokesCustom_Top50Voxels_20170720,15,551_FED_20170412a_3T2,551
LangfROIs_resp_JokesCustom_Top50Voxels_20170720,16,555_FED_20170426c_3T2,555
LangfROIs_resp_JokesCustom_Top50Voxels_20170720,17,571_FED_20170412c_3T2,571
LangfROIs_resp_JokesCustom_Top50Voxels_20170720,18,576_FED_20170414b_3T2,576
LangfROIs_resp_JokesCustom_Top50Voxels_20170720,19,577_FED_20170414c_3T2,577
LangfROIs_resp_JokesCustom_Top50Voxels_20170720,20,578_FED_20170414d_3T2,578
LangfROIs_resp_JokesCustom_Top50Voxels_20170720,21,596_FED_20170426b_3T2,596
LangfROIs_resp_Lang_20170703,1,168_KAN_evDB_20141020b,168
LangfROIs_resp_Lang_20170703,2,288_FED_20170412b_3T2,288
LangfROIs_resp_Lang_20170703,3,290_FED_20170426a_3T2,290
LangfROIs_resp_Lang_20170703,4,301_FED_20150708c_3T2,301
LangfROIs_resp_Lang_20170703,5,334_FED_20151119a_3T2,334
LangfROIs_resp_Lang_20170703,6,343_FED_20160107a_3T2,343
LangfROIs_resp_Lang_20170703,7,366_FED_20161103a_3T1,366
LangfROIs_resp_Lang_20170703,8,424_FED_20161102b_3T1,424
LangfROIs_resp_Lang_20170703,9,426_FED_20160908d_3T1,426
LangfROIs_resp_Lang_20170703,10,430_FED_20170426d_3T2,430
LangfROIs_resp_Lang_20170703,11,473_FED_20161102a_3T1,473
LangfROIs_resp_Lang_20170703,12,498_FED_20161121a_3T1,498
LangfROIs_resp_Lang_20170703,13,520_FED_20161227a_3T2,520
LangfROIs_resp_Lang_20170703,14,521_FED_20161228a_3T2,521
LangfROIs_resp_Lang_20170703,15,551_FED_20170412a_3T2,551
LangfROIs_resp_Lang_20170703,16,555_FED_20170426c_3T2,555
LangfROIs_resp_Lang_20170703,17,571_FED_20170412c_3T2,571
LangfROIs_resp_Lang_20170703,18,576_FED_20170414b_3T2,576
LangfROIs_resp_Lang_20170703,19,577_FED_20170414c_3T2,577
LangfROIs_resp_Lang_20170703,20,578_FED_20170414d_3T2,578
LangfROIs_resp_Lang_20170703,21,596_FED_20170426b_3T2,596
MDfROIs_resp_Jokes_20170720,1,168_FED_20161228b_3T2,168
MDfROIs_resp_Jokes_20170720,2,290_FED_20170426a_3T2,290
MDfROIs_resp_Jokes_20170720,3,301_FED_20161217b_3T2,301
MDfROIs_resp_Jokes_20170720,4,366_FED_20161205a_3T2,366
MDfROIs_resp_Jokes_20170720,5,424_FED_20161228c_3T2,424
MDfROIs_resp_Jokes_20170720,6,426_FED_20161215c_3T2,426
MDfROIs_resp_Jokes_20170720,7,430_FED_20170426d_3T2,430
MDfROIs_resp_Jokes_20170720,8,473_FED_20170210b_3T2,473
MDfROIs_resp_Jokes_20170720,9,498_FED_20170210c_3T2,498
MDfROIs_resp_Jokes_20170720,10,520_FED_20161227a_3T2,520
MDfROIs_resp_Jokes_20170720,11,555_FED_20170426c_3T2,555
MDfROIs_resp_Jokes_20170720,12,576_FED_20170414b_3T2,576
MDfROIs_resp_Jokes_20170720,13,577_FED_20170414c_3T2,577
MDfROIs_resp_Jokes_20170720,14,578_FED_20170414d_3T2,578
MDfROIs_resp_Jokes_20170720,15,596_FED_20170426b_3T2,596
MDfROIs_resp_Jokes_20170720,16,288_FED_20170412b_3T2,288
MDfROIs_resp_Jokes_20170720,17,334_FED_20161221a_3T2,334
MDfROIs_resp_Jokes_20170720,18,343_FED_20161208a_3T2,343
MDfROIs_resp_Jokes_20170720,19,521_FED_20161228a_3T2,521
MDfROIs_resp_Jokes_20170720,20,551_FED_20170412a_3T2,551
MDfROIs_resp_Jokes_20170720,21,571_FED_20170412c_3T2,571
MDfROIs_resp_Jokes_Top50Voxels_20170720,1,168_FED_20161228b_3T2,168
MDfROIs_resp_Jokes_Top50Voxels_20170720,2,290_FED_20170426a_3T2,290
MDfROIs_resp_Jokes_Top50Voxels_20170720,3,301_FED_20161217b_3T2,301
MDfROIs_resp_Jokes_Top50Voxels_20170720,4,366_FED_20161205a_3T2,366
MDfROIs_resp_Jokes_Top50Voxels_20170720,5,424_FED_20161228c_3T2,424
MDfROIs_resp_Jokes_Top50Voxels_20170720,6,426_FED_20161215c_3T2,426
MDfROIs_resp_Jokes_Top50Voxels_20170720,7,430_FED_20170426d_3T2,430
MDfROIs_resp_Jokes_Top50Voxels_20170720,8,473_FED_20170210b_3T2,473
MDfROIs_resp_Jokes_Top50Voxels_20170720,9,498_FED_20170210c_3T2,498
MDfROIs_resp_Jokes_Top50Voxels_20170720,10,520_FED_20161227a_3T2,520
MDfROIs_resp_Jokes_Top50Voxels_20170720,11,555_FED_20170426c_3T2,555
MDfROIs_resp_Jokes_Top50Voxels_20170720,12,576_FED_20170414b_3T2,576
MDfROIs_resp_Jokes_Top50Voxels_20170720,13,577_FED_20170414c_3T2,577
MDfROIs_resp_Jokes_Top50Voxels_20170720,14,578_FED_20170414d_3T2,578
MDfROIs_resp_Jokes_Top50Voxels_20170720,15,596_FED_20170426b_3T2,596
MDfROIs_resp_Jokes_Top50Voxels_20170720,16,288_FED_20170412b_3T2,288
MDfROIs_resp_Jokes_Top50Voxels_20170720,17,334_FED_20161221a_3T2,334
MDfROIs_resp_Jokes_Top50Voxels_20170720,18,343_FED_20161208a_3T2,343
MDfROIs_resp_Jokes_Top50Voxels_20170720,19,521_FED_20161228a_3T2,521
MDfROIs_resp_Jokes_Top50Voxels_20170720,20,551_FED_20170412a_3T2,551
MDfROIs_resp_Jokes_Top50Voxels_20170720,21,571_FED_20170412c_3T2,571
MDfROIs_resp_JokesCustom_20170726,1,168_FED_20161228b_3T2,168
MDfROIs_resp_JokesCustom_20170726,2,290_FED_20170426a_3T2,290
MDfROIs_resp_JokesCustom_20170726,3,301_FED_20161217b_3T2,301
MDfROIs_resp_JokesCustom_20170726,4,366_FED_20161205a_3T2,366
MDfROIs_resp_JokesCustom_20170726,5,424_FED_20161228c_3T2,424
MDfROIs_resp_JokesCustom_20170726,6,426_FED_20161215c_3T2,426
MDfROIs_resp_JokesCustom_20170726,7,430_FED_20170426d_3T2,430
MDfROIs_resp_JokesCustom_20170726,8,473_FED_20170210b_3T2,473
MDfROIs_resp_JokesCustom_20170726,9,498_FED_20170210c_3T2,498
MDfROIs_resp_JokesCustom_20170726,10,520_FED_20161227a_3T2,520
MDfROIs_resp_JokesCustom_20170726,11,555_FED_20170426c_3T2,555
MDfROIs_resp_JokesCustom_20170726,12,576_FED_20170414b_3T2,576
MDfROIs_resp_JokesCustom_20170726,13,577_FED_20170414c_3T2,577
MDfROIs_resp_JokesCustom_20170726,14,578_FED_20170414d_3T2,578
MDfROIs_resp_JokesCustom_20170726,15,596_FED_20170426b_3T2,596
MDfROIs_resp_JokesCustom_20170726,16,288_FED_20170412b_3T2,288
MDfROIs_resp_JokesCustom_20170726,17,334_FED_20161221a_3T2,334
MDfROIs_resp_JokesCustom_20170726,18,343_FED_20161208a_3T2,343
MDfROIs_resp_JokesCustom_20170726,19,521_FED_20161228a_3T2,521
MDfROIs_resp_JokesCustom_20170726,20,551_FED_20170412a_3T2,551
MDfROIs_resp_JokesCustom_20170726,21,571_FED_20170412c_3T2,571
MDfROIs_resp_JokesCustom_Top50Voxels_20170720,1,168_FED_20161228b_3T2,168
MDfROIs_resp_JokesCustom_Top50Voxels_20170720,2,290_FED_20170426a_3T2,290
MDfROIs_resp_JokesCustom_Top50Voxels_20170720,3,301_FED_20161217b_3T2,301
MDfROIs_resp_JokesCustom_Top50Voxels_20170720,4,366_FED_20161205a_3T2,366
MDfROIs_resp_JokesCustom_Top50Voxels_20170720,5,424_FED_20161228c_3T2,424
MDfROIs_resp_JokesCustom_Top50Voxels_20170720,6,426_FED_20161215c_3T2,426
MDfROIs_resp_JokesCustom_Top50Voxels_20170720,7,430_FED_20170426d_3T2,430
MDfROIs_resp_JokesCustom_Top50Voxels_20170720,8,473_FED_20170210b_3T2,473
MDfROIs_resp_JokesCustom_Top50Voxels_20170720,9,498_FED_20170210c_3T2,498
MDfROIs_resp_JokesCustom_Top50Voxels_20170720,10,520_FED_20161227a_3T2,520
MDfROIs_resp_JokesCustom_Top50Voxels_20170720,11,555_FED_20170426c_3T2,555
MDfROIs_resp_JokesCustom_Top50Voxels_20170720,12,576_FED_20170414b_3T2,576
MDfROIs_resp_JokesCustom_Top50Voxels_20170720,13,577_FED_20170414c_3T2,577
MDfROIs_resp_JokesCustom_Top50Voxels_20170720,14,578_FED_20170414d_3T2,578
MDfROIs_resp_JokesCustom_Top50Voxels_20170720,15,596_FED_20170426b_3T2,596
MDfROIs_resp_JokesCustom_Top50Voxels_20170720,16,288_FED_20170412b_3T2,288
MDfROIs_resp_JokesCustom_Top50Voxels_20170720,17,334_FED_20161221a_3T2,334
MDfROIs_resp_JokesCustom_Top50Voxels_20170720,18,343_FED_20161208a_3T2,343
MDfROIs_resp_JokesCustom_Top50Voxels_20170720,19,521_FED_20161228a_3T2,521
MDfROIs_resp_JokesCustom_Top50Voxels_20170720,20,551_FED_20170412a_3T2,551
MDfROIs_resp_JokesCustom_Top50Voxels_20170720,21,571_FED_20170412c_3T2,571
MDfROIs_resp_MD_20170720,1,168_KAN_parametric_11,168
MDfROIs_resp_MD_20170720,2,290_FED_20170109b_3T2,290
MDfROIs_resp_MD_20170720,3,301_FED_20150708c_3T2,301
MDfROIs_resp_MD_20170720,4,366_FED_20161103a_3T1,366
MDfROIs_resp_MD_20170720,5,424_FED_20161102b_3T1,424
MDfROIs_resp_MD_20170720,6,426_FED_20160908d_3T1,426
MDfROIs_resp_MD_20170720,7,430_FED_20170110b_3T2,430
MDfROIs_resp_MD_20170720,8,473_FED_20161102a_3T1,473
MDfROIs_resp_MD_20170720,9,498_FED_20161121a_3T1,498
MDfROIs_resp_MD_20170720,10,520_FED_20161227a_3T2,520
MDfROIs_resp_MD_20170720,11,555_FED_20170315b_3T2,555
MDfROIs_resp_MD_20170720,12,576_FED_20170414b_3T2,576
MDfROIs_resp_MD_20170720,13,577_FED_20170414c_3T2,577
MDfROIs_resp_MD_20170720,14,578_FED_20170414d_3T2,578
MDfROIs_resp_MD_20170720,15,596_FED_20170426b_3T2,596
RHLfROIs_resp_Jokes_20170703,1,168_FED_20161228b_3T2,168
RHLfROIs_resp_Jokes_20170703,2,288_FED_20170412b_3T2,288
RHLfROIs_resp_Jokes_20170703,3,290_FED_20170426a_3T2,290
RHLfROIs_resp_Jokes_20170703,4,301_FED_20161217b_3T2,301
RHLfROIs_resp_Jokes_20170703,5,334_FED_20161221a_3T2,334
RHLfROIs_resp_Jokes_20170703,6,343_FED_20161208a_3T2,343
RHLfROIs_resp_Jokes_20170703,7,366_FED_20161205a_3T2,366
RHLfROIs_resp_Jokes_20170703,8,424_FED_20161228c_3T2,424
RHLfROIs_resp_Jokes_20170703,9,426_FED_20161215c_3T2,426
RHLfROIs_resp_Jokes_20170703,10,430_FED_20170426d_3T2,430
RHLfROIs_resp_Jokes_20170703,11,473_FED_20170210b_3T2,473
RHLfROIs_resp_Jokes_20170703,12,498_FED_20170210c_3T2,498
RHLfROIs_resp_Jokes_20170703,13,520_FED_20161227a_3T2,520
RHLfROIs_resp_Jokes_20170703,14,521_FED_20161228a_3T2,521
RHLfROIs_resp_Jokes_20170703,15,551_FED_20170412a_3T2,551
RHLfROIs_resp_Jokes_20170703,16,555_FED_20170426c_3T2,555
RHLfROIs_resp_Jokes_20170703,17,571_FED_20170412c_3T2,571
RHLfROIs_resp_Jokes_20170703,18,576_FED_20170414b_3T2,576
RHLfROIs_resp_Jokes_20170703,19,577_FED_20170414c_3T2,577
RHLfROIs_resp_Jokes_20170703,20,578_FED_20170414d_3T2,578
RHLfROIs_resp_Jokes_20170703,21,596_FED_20170426b_3T2,596
RHLfROIs_resp_Jokes_Top50Voxels_20170703,1,168_FED_20161228b_3T2,168
RHLfROIs_resp_Jokes_Top50Voxels_20170703,2,288_FED_20170412b_3T2,288
RHLfROIs_resp_Jokes_Top50Voxels_20170703,3,290_FED_20170426a_3T2,290
RHLfROIs_resp_Jokes_Top50Voxels_20170703,4,301_FED_20161217b_3T2,301
RHLfROIs_resp_Jokes_Top50Voxels_20170703,5,334_FED_20161221a_3T2,334
RHLfROIs_resp_Jokes_Top50Voxels_20170703,6,343_FED_20161208a_3T2,343
RHLfROIs_resp_Jokes_Top50Voxels_20170703,7,366_FED_20161205a_3T2,366
RHLfROIs_resp_Jokes_Top50Voxels_20170703,8,424_FED_20161228c_3T2,424
RHLfROIs_resp_Jokes_Top50Voxels_20170703,9,426_FED_20161215c_3T2,426
RHLfROIs_resp_Jokes_Top50Voxels_20170703,10,430_FED_20170426d_3T2,430
RHLfROIs_resp_Jokes_Top50Voxels_20170703,11,473_FED_20170210b_3T2,473
RHLfROIs_resp_Jokes_Top50Voxels_20170703,12,498_FED_20170210c_3T2,498
RHLfROIs_resp_Jokes_Top50Voxels_20170703,13,520_FED_20161227a_3T2,520
RHLfROIs_resp_Jokes_Top50Voxels_20170703,14,521_FED_20161228a_3T2,521
RHLfROIs_resp_Jokes_Top50Voxels_20170703,15,551_FED_20170412a_3T2,551
RHLfROIs_resp_Jokes_Top50Voxels_20170703,16,555_FED_20170426c_3T2,555
RHLfROIs_resp_Jokes_Top50Voxels_20170703,17,571_FED_20170412c_3T2,571
RHLfROIs_resp_Jokes_Top50Voxels_20170703,18,576_FED_20170414b_3T2,576
RHLfROIs_resp_Jokes_Top50Voxels_20170703,19,577_FED_20170414c_3T2,577
RHLfROIs_resp_Jokes_Top50Voxels_20170703,20,578_FED_20170414d_3T2,578
RHLfROIs_resp_Jokes_Top50Voxels_20170703,21,596_FED_20170426b_3T2,596
RHLfROIs_resp_JokesCustom_20170720,1,168_FED_20161228b_3T2,168
RHLfROIs_resp_JokesCustom_20170720,2,288_FED_20170412b_3T2,288
RHLfROIs_resp_JokesCustom_20170720,3,290_FED_20170426a_3T2,290
RHLfROIs_resp_JokesCustom_20170720,4,301_FED_20161217b_3T2,301
RHLfROIs_resp_JokesCustom_20170720,5,334_FED_20161221a_3T2,334
RHLfROIs_resp_JokesCustom_20170720,6,343_FED_20161208a_3T2,343
RHLfROIs_resp_JokesCustom_20170720,7,366_FED_20161205a_3T2,366
RHLfROIs_resp_JokesCustom_20170720,8,424_FED_20161228c_3T2,424
RHLfROIs_resp_JokesCustom_20170720,9,426_FED_20161215c_3T2,426
RHLfROIs_resp_JokesCustom_20170720,10,430_FED_20170426d_3T2,430
RHLfROIs_resp_JokesCustom_20170720,11,473_FED_20170210b_3T2,473
RHLfROIs_resp_JokesCustom_20170720,12,498_FED_20170210c_3T2,498
RHLfROIs_resp_JokesCustom_20170720,13,520_FED_20161227a_3T2,520
RHLfROIs_resp_JokesCustom_20170720,14,521_FED_20161228a_3T2,521
RHLfROIs_resp_JokesCustom_20170720,15,551_FED_20170412a_3T2,551
RHLfROIs_resp_JokesCustom_20170720,16,555_FED_20170426c_3T2,555
RHLfROIs_resp_JokesCustom_20170720,17,571_FED_20170412c_3T2,571
RHLfROIs_resp_JokesCustom_20170720,18,576_FED_20170414b_3T2,576
RHLfROIs_resp_JokesCustom_20170720,19,577_FED_20170414c_3T2,577
RHLfROIs_resp_JokesCustom_20170720,20,578_FED_20170414d_3T2,578
RHLfROIs_resp_JokesCustom_20170720,21,596_FED_20170426b_3T2,596
RHLfROIs_resp_JokesCustom_Top50Voxels_20170720,1,168_FED_20161228b_3T2,168
RHLfROIs_resp_JokesCustom_Top50Voxels_20170720,2,288_FED_20170412b_3T2,288
RHLfROIs_resp_JokesCustom_Top50Voxels_20170720,3,290_FED_20170426a_3T2,290
RHLfROIs_resp_JokesCustom_Top50Voxels_20170720,4,301_FED_20161217b_3T2,301
RHLfROIs_resp_JokesCustom_Top50Voxels_20170720,5,334_FED_20161221a_3T2,334
RHLfROIs_resp_JokesCustom_Top50Voxels_20170720,6,343_FED_20161208a_3T2,343
RHLfROIs_resp_JokesCustom_Top50Voxels_20170720,7,366_FED_20161205a_3T2,366
RHLfROIs_resp_JokesCustom_Top50Voxels_20170720,8,424_FED_20161228c_3T2,424
RHLfROIs_resp_JokesCustom_Top50Voxels_20170720,9,426_FED_20161215c_3T2,426
RHLfROIs_resp_JokesCustom_Top50Voxels_20170720,10,430_FED_20170426d_3T2,430
RHLfROIs_resp_JokesCustom_Top50Voxels_20170720,11,473_FED_20170210b_3T2,473
RHLfROIs_resp_JokesCustom_Top50Voxels_20170720,12,498_FED_20170210c_3T2,498
RHLfROIs_resp_JokesCustom_Top50Voxels_20170720,13,520_FED_20161227a_3T2,520
RHLfROIs_resp_JokesCustom_Top50Voxels_20170720,14,521_FED_20161228a_3T2,521
RHLfROIs_resp_JokesCustom_Top50Voxels_20170720,15,551_FED_20170412a_3T2,551
RHLfROIs_resp_JokesCustom_Top50Voxels_20170720,16,555_FED_20170426c_3T2,555
RHLfROIs_resp_JokesCustom_Top50Voxels_20170720,17,571_FED_20170412c_3T2,571
RHLfROIs_resp_JokesCustom_Top50Voxels_20170720,18,576_FED_20170414b_3T2,576
RHLfROIs_resp_JokesCustom_Top50Voxels_20170720,19,577_FED_20170414c_3T2,577
RHLfROIs_resp_JokesCustom_Top50Voxels_20170720,20,578_FED_20170414d_3T2,578
RHLfROIs_resp_JokesCustom_Top50Voxels_20170720,21,596_FED_20170426b_3T2,596
RHLfROIs_resp_Lang_20170703,1,168_KAN_evDB_20141020b,168
RHLfROIs_resp_Lang_20170703,2,288_FED_20170412b_3T2,288
RHLfROIs_resp_Lang_20170703,3,290_FED_20170426a_3T2,290
RHLfROIs_resp_Lang_20170703,4,301_FED_20150708c_3T2,301
