"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast"
"2","3322","332","1.000000","0.239499","7","2"
"3","1525","152","1.000000","-0.057335","7","2"
"4","4182","418","1.000000","0.163898","7","2"
"5","3419","341","1.000000","0.113475","7","2"
"6","1313","131","1.000000","0.092934","7","2"
"7","4051","405","1.000000","0.316649","7","2"
"1","1885","188","1.000000","-0.413939","7","3"
"2","3322","332","1.000000","0.022664","7","3"
"3","1525","152","1.000000","-0.405371","7","3"
"4","4182","418","1.000000","-0.038878","7","3"
"5","3419","341","1.000000","-0.163396","7","3"
"6","1313","131","1.000000","-0.679431","7","3"
"7","4051","405","1.000000","-0.170512","7","3"
"1","1885","188","1.000000","-0.234348","8","1"
"2","3322","332","1.000000","0.856876","8","1"
"3","1525","152","1.000000","-0.826495","8","1"
"4","4182","418","1.000000","-0.117419","8","1"
"5","3419","341","1.000000","-0.098012","8","1"
"6","1313","131","1.000000","0.272262","8","1"
"7","4051","405","1.000000","0.316154","8","1"
"1","1885","188","1.000000","0.538444","8","2"
"2","3322","332","1.000000","0.823255","8","2"
"3","1525","152","1.000000","-0.068502","8","2"
"4","4182","418","1.000000","0.04518","8","2"
"5","3419","341","1.000000","0.208075","8","2"
"6","1313","131","1.000000","0.508761","8","2"
"7","4051","405","1.000000","0.499833","8","2"
"1","1885","188","1.000000","-0.772792","8","3"
"2","3322","332","1.000000","0.033622","8","3"
"3","1525","152","1.000000","-0.757993","8","3"
"4","4182","418","1.000000","-0.162599","8","3"
"5","3419","341","1.000000","-0.306087","8","3"
"6","1313","131","1.000000","-0.236499","8","3"
"7","4051","405","1.000000","-0.183679","8","3"
"1","1885","188","1.000000","-0.243788","9","1"
"2","3322","332","1.000000","-0.113984","9","1"
"3","1525","152","1.000000","0.084897","9","1"
"4","4182","418","1.000000","-0.384009","9","1"
"5","3419","341","1.000000","-0.029576","9","1"
"6","1313","131","1.000000","-0.194375","9","1"
"7","4051","405","1.000000","0.49131","9","1"
"1","1885","188","1.000000","-0.45049","9","2"
"2","3322","332","1.000000","-0.238927","9","2"
"3","1525","152","1.000000","0.350771","9","2"
"4","4182","418","1.000000","-0.622425","9","2"
"5","3419","341","1.000000","-0.162177","9","2"
"6","1313","131","1.000000","-1.177865","9","2"
"7","4051","405","1.000000","0.505188","9","2"
"1","1885","188","1.000000","0.206702","9","3"
"2","3322","332","1.000000","0.124943","9","3"
"3","1525","152","1.000000","-0.265874","9","3"
"4","4182","418","1.000000","0.238417","9","3"
"5","3419","341","1.000000","0.132601","9","3"
"6","1313","131","1.000000","0.98349","9","3"
"7","4051","405","1.000000","-0.013878","9","3"
"1","1885","188","1.000000","0.467448","10","1"
"2","3322","332","1.000000","1.040791","10","1"
"3","1525","152","1.000000","0.634199","10","1"
"4","4182","418","1.000000","1.140083","10","1"
"5","3419","341","1.000000","0.856306","10","1"
"6","1313","131","1.000000","0.431214","10","1"
"7","4051","405","1.000000","0.471612","10","1"
"1","1885","188","1.000000","-0.49944","10","2"
"2","3322","332","1.000000","0.327","10","2"
"3","1525","152","1.000000","-0.07185","10","2"
"4","4182","418","1.000000","0.477748","10","2"
"5","3419","341","1.000000","0.1227","10","2"
"6","1313","131","1.000000","0.035361","10","2"
"7","4051","405","1.000000","-0.003434","10","2"
"1","1885","188","1.000000","0.966887","10","3"
"2","3322","332","1.000000","0.713791","10","3"
"3","1525","152","1.000000","0.706049","10","3"
"4","4182","418","1.000000","0.662336","10","3"
"5","3419","341","1.000000","0.733606","10","3"
"6","1313","131","1.000000","0.395852","10","3"
"7","4051","405","1.000000","0.475046","10","3"
"1","1885","188","1.000000","-1.263491","11","1"
"2","3322","332","1.000000","-0.690931","11","1"
"3","1525","152","1.000000","-1.687119","11","1"
"4","4182","418","1.000000","-0.907","11","1"
"5","3419","341","1.000000","-0.590151","11","1"
"6","1313","131","1.000000","-1.878156","11","1"
"7","4051","405","1.000000","-0.071589","11","1"
"1","1885","188","1.000000","-1.759262","11","2"
"2","3322","332","1.000000","-1.151222","11","2"
"3","1525","152","1.000000","-2.057041","11","2"
"4","4182","418","1.000000","-1.278105","11","2"
"5","3419","341","1.000000","-0.872072","11","2"
"6","1313","131","1.000000","-1.706846","11","2"
"7","4051","405","1.000000","-0.224244","11","2"
"1","1885","188","1.000000","0.495772","11","3"
"2","3322","332","1.000000","0.460291","11","3"
"3","1525","152","1.000000","0.369923","11","3"
"4","4182","418","1.000000","0.371105","11","3"
"5","3419","341","1.000000","0.281921","11","3"
"6","1313","131","1.000000","-0.17131","11","3"
"7","4051","405","1.000000","0.152655","11","3"
"1","1885","188","1.000000","2.666255","12","1"
"2","3322","332","1.000000","1.416894","12","1"
"3","1525","152","1.000000","0.998087","12","1"
"4","4182","418","1.000000","0.446712","12","1"
"5","3419","341","1.000000","0.318922","12","1"
"6","1313","131","1.000000","1.104716","12","1"
"7","4051","405","1.000000","0.983371","12","1"
"1","1885","188","1.000000","1.900908","12","2"
"2","3322","332","1.000000","1.244272","12","2"
"3","1525","152","1.000000","0.344313","12","2"
"4","4182","418","1.000000","0.072651","12","2"
"5","3419","341","1.000000","0.101054","12","2"
"6","1313","131","1.000000","0.461474","12","2"
"7","4051","405","1.000000","0.650091","12","2"
"1","1885","188","1.000000","0.765347","12","3"
"2","3322","332","1.000000","0.172623","12","3"
"3","1525","152","1.000000","0.653774","12","3"
"4","4182","418","1.000000","0.374061","12","3"
"5","3419","341","1.000000","0.217868","12","3"
