"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","filename","fROIs","task","ind_selection_method","pipeline"
"1","1038","103","1.000000","0.089072","1","1","MDfROIs_resp_MD_20170720","MDfROIs","MD","Top10Percent","Old_evlab_pipeline"
"2","1399","139","1.000000","2.320190","1","1","MDfROIs_resp_MD_20170720","MDfROIs","MD","Top10Percent","Old_evlab_pipeline"
"3","4863","486","1.000000","1.223827","1","1","MDfROIs_resp_MD_20170720","MDfROIs","MD","Top10Percent","Old_evlab_pipeline"
"4","5104","510","1.000000","1.814426","1","1","MDfROIs_resp_MD_20170720","MDfROIs","MD","Top10Percent","Old_evlab_pipeline"
"5","888","88","1.000000","0.579532","1","1","MDfROIs_resp_MD_20170720","MDfROIs","MD","Top10Percent","Old_evlab_pipeline"
"6","1015","101","1.000000","1.931932","1","1","MDfROIs_resp_MD_20170720","MDfROIs","MD","Top10Percent","Old_evlab_pipeline"
"7","3526","352","1.000000","1.483174","1","1","MDfROIs_resp_MD_20170720","MDfROIs","MD","Top10Percent","Old_evlab_pipeline"
"8","3381","338","1.000000","2.255769","1","1","MDfROIs_resp_MD_20170720","MDfROIs","MD","Top10Percent","Old_evlab_pipeline"
"9","1858","185","1.000000","0.274742","1","1","MDfROIs_resp_MD_20170720","MDfROIs","MD","Top10Percent","Old_evlab_pipeline"
"10","1770","177","1.000000","0.754101","1","1","MDfROIs_resp_MD_20170720","MDfROIs","MD","Top10Percent","Old_evlab_pipeline"
"11","2147","214","1.000000","0.890325","1","1","MDfROIs_resp_MD_20170720","MDfROIs","MD","Top10Percent","Old_evlab_pipeline"
"12","2371","237","1.000000","0.947551","1","1","MDfROIs_resp_MD_20170720","MDfROIs","MD","Top10Percent","Old_evlab_pipeline"
"13","2447","244","1.000000","1.947815","1","1","MDfROIs_resp_MD_20170720","MDfROIs","MD","Top10Percent","Old_evlab_pipeline"
"14","1345","134","1.000000","1.544140","1","1","MDfROIs_resp_MD_20170720","MDfROIs","MD","Top10Percent","Old_evlab_pipeline"
"15","2065","206","1.000000","5.132754","1","1","MDfROIs_resp_MD_20170720","MDfROIs","MD","Top10Percent","Old_evlab_pipeline"
"16","2222","222","1.000000","4.503841","1","1","MDfROIs_resp_MD_20170720","MDfROIs","MD","Top10Percent","Old_evlab_pipeline"
"17","1615","161","1.000000","-0.126556","1","1","MDfROIs_resp_MD_20170720","MDfROIs","MD","Top10Percent","Old_evlab_pipeline"
"18","1958","195","1.000000","0.002921","1","1","MDfROIs_resp_MD_20170720","MDfROIs","MD","Top10Percent","Old_evlab_pipeline"
