"ROIName","Subject","Contrast","nVoxels","SignalChange"
"DMPFC","288_FED_20170412b_3T2_PL2017","joke",188,1.248068
"DMPFC","288_FED_20170412b_3T2_PL2017","lit",188,0.785781
"DMPFC","288_FED_20170412b_3T2_PL2017","joke-lit",188,0.462287
"DMPFC","301_FED_20161217b_3T2","joke",188,-0.007276
"DMPFC","301_FED_20161217b_3T2","lit",188,-0.00622
"DMPFC","301_FED_20161217b_3T2","joke-lit",188,-0.001056
"DMPFC","424_FED_20161228c_3T2","joke",188,0.017452
"DMPFC","424_FED_20161228c_3T2","lit",188,0.014198
"DMPFC","424_FED_20161228c_3T2","joke-lit",188,0.003254
"DMPFC","426_FED_20161215c_3T2","joke",188,0
"DMPFC","426_FED_20161215c_3T2","lit",188,0
"DMPFC","426_FED_20161215c_3T2","joke-lit",188,0
"DMPFC","430_FED_20170426d_3T2","joke",188,0
"DMPFC","430_FED_20170426d_3T2","lit",188,0
"DMPFC","430_FED_20170426d_3T2","joke-lit",188,0
"DMPFC","555_FED_20170426c_3T2","joke",188,0
"DMPFC","555_FED_20170426c_3T2","lit",188,0
"DMPFC","555_FED_20170426c_3T2","joke-lit",188,0
"DMPFC","576_FED_20170414b_3T2","joke",188,0
"DMPFC","576_FED_20170414b_3T2","lit",188,0
"DMPFC","576_FED_20170414b_3T2","joke-lit",188,0
"DMPFC","577_FED_20170414c_3T2","joke",188,0
"DMPFC","577_FED_20170414c_3T2","lit",188,0
"DMPFC","577_FED_20170414c_3T2","joke-lit",188,0
"DMPFC","334_FED_20161221a_3T2","joke",188,0
"DMPFC","334_FED_20161221a_3T2","lit",188,0
"DMPFC","334_FED_20161221a_3T2","joke-lit",188,0
"DMPFC","343_FED_20161208a_3T2","joke",188,4.9e-05
"DMPFC","343_FED_20161208a_3T2","lit",188,0.000951
"DMPFC","343_FED_20161208a_3T2","joke-lit",188,-0.000902
"DMPFC","521_FED_20161228a_3T2","joke",188,0
"DMPFC","521_FED_20161228a_3T2","lit",188,0
"DMPFC","521_FED_20161228a_3T2","joke-lit",188,0
"DMPFC","551_FED_20170412a_3T2","joke",188,0
"DMPFC","551_FED_20170412a_3T2","lit",188,0
"DMPFC","551_FED_20170412a_3T2","joke-lit",188,0
"DMPFC","571_FED_20170412c_3T2","joke",188,0
"DMPFC","571_FED_20170412c_3T2","lit",188,0
"DMPFC","571_FED_20170412c_3T2","joke-lit",188,0
"DMPFC","520_FED_20161227a_3T2","joke",188,0
"DMPFC","520_FED_20161227a_3T2","lit",188,0
"DMPFC","520_FED_20161227a_3T2","joke-lit",188,0
"DMPFC","596_FED_20170426b_3T2","joke",188,0
"DMPFC","596_FED_20170426b_3T2","lit",188,0
"DMPFC","596_FED_20170426b_3T2","joke-lit",188,0
"LTPJ","288_FED_20170412b_3T2_PL2017","joke",332,0.357925
"LTPJ","288_FED_20170412b_3T2_PL2017","lit",332,0.239603
"LTPJ","288_FED_20170412b_3T2_PL2017","joke-lit",332,0.118322
"LTPJ","301_FED_20161217b_3T2","joke",332,0.169131
"LTPJ","301_FED_20161217b_3T2","lit",332,-0.0398
"LTPJ","301_FED_20161217b_3T2","joke-lit",332,0.208931
"LTPJ","424_FED_20161228c_3T2","joke",332,-0.048053
"LTPJ","424_FED_20161228c_3T2","lit",332,-0.089678
"LTPJ","424_FED_20161228c_3T2","joke-lit",332,0.041626
"LTPJ","426_FED_20161215c_3T2","joke",332,-0.025139
"LTPJ","426_FED_20161215c_3T2","lit",332,-0.075021
"LTPJ","426_FED_20161215c_3T2","joke-lit",332,0.049882
"LTPJ","430_FED_20170426d_3T2","joke",332,-0.026189
"LTPJ","430_FED_20170426d_3T2","lit",332,-0.013938
"LTPJ","430_FED_20170426d_3T2","joke-lit",332,-0.012251
"LTPJ","555_FED_20170426c_3T2","joke",332,0.00629
"LTPJ","555_FED_20170426c_3T2","lit",332,-0.002361
"LTPJ","555_FED_20170426c_3T2","joke-lit",332,0.00865
"LTPJ","576_FED_20170414b_3T2","joke",332,0.039651
"LTPJ","576_FED_20170414b_3T2","lit",332,0.050277
"LTPJ","576_FED_20170414b_3T2","joke-lit",332,-0.010626
"LTPJ","577_FED_20170414c_3T2","joke",332,0.162977
"LTPJ","577_FED_20170414c_3T2","lit",332,-0.021284
"LTPJ","577_FED_20170414c_3T2","joke-lit",332,0.184261
"LTPJ","334_FED_20161221a_3T2","joke",332,-0.084197
"LTPJ","334_FED_20161221a_3T2","lit",332,-0.142752
"LTPJ","334_FED_20161221a_3T2","joke-lit",332,0.058556
