Contrast name:,Group (S-N/S-N)
Within-subjects contrast matrix:,c[1;1],
,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,

Results
ROI#,ROI size,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,2948,1.387868,0.112654,12.319716,8.000000,0.000001,0.000005
2,1627,1.195847,0.118329,10.106159,8.000000,0.000004,0.000012
3,644,1.157026,0.243249,4.756557,8.000000,0.000717,0.000717
4,743,1.064840,0.184328,5.776890,8.000000,0.000208,0.000312
5,462,1.311423,0.174138,7.530941,8.000000,0.000034,0.000067
6,370,0.961632,0.192706,4.990151,8.000000,0.000533,0.000640
