ROI,Subject,Session/Partition,LocalizerSize
DMPFC,288_FED_20170412b_3T2_PL2017,1,188
DMPFC,301_FED_20161217b_3T2,1,188
DMPFC,424_FED_20161228c_3T2,1,188
DMPFC,426_FED_20161215c_3T2,1,188
DMPFC,430_FED_20170426d_3T2,1,188
DMPFC,555_FED_20170426c_3T2,1,188
DMPFC,576_FED_20170414b_3T2,1,188
DMPFC,577_FED_20170414c_3T2,1,188
DMPFC,334_FED_20161221a_3T2,1,188
DMPFC,343_FED_20161208a_3T2,1,188
DMPFC,521_FED_20161228a_3T2,1,188
DMPFC,551_FED_20170412a_3T2,1,188
DMPFC,571_FED_20170412c_3T2,1,188
DMPFC,520_FED_20161227a_3T2,1,188
DMPFC,596_FED_20170426b_3T2,1,188
LTPJ,288_FED_20170412b_3T2_PL2017,1,332
LTPJ,301_FED_20161217b_3T2,1,332
LTPJ,424_FED_20161228c_3T2,1,332
LTPJ,426_FED_20161215c_3T2,1,332
LTPJ,430_FED_20170426d_3T2,1,332
LTPJ,555_FED_20170426c_3T2,1,332
LTPJ,576_FED_20170414b_3T2,1,332
LTPJ,577_FED_20170414c_3T2,1,332
LTPJ,334_FED_20161221a_3T2,1,332
LTPJ,343_FED_20161208a_3T2,1,332
LTPJ,521_FED_20161228a_3T2,1,332
LTPJ,551_FED_20170412a_3T2,1,332
LTPJ,571_FED_20170412c_3T2,1,332
LTPJ,520_FED_20161227a_3T2,1,332
LTPJ,596_FED_20170426b_3T2,1,332
MMPFC,288_FED_20170412b_3T2_PL2017,1,152
MMPFC,301_FED_20161217b_3T2,1,152
MMPFC,424_FED_20161228c_3T2,1,152
MMPFC,426_FED_20161215c_3T2,1,152
MMPFC,430_FED_20170426d_3T2,1,152
MMPFC,555_FED_20170426c_3T2,1,152
MMPFC,576_FED_20170414b_3T2,1,152
MMPFC,577_FED_20170414c_3T2,1,152
MMPFC,334_FED_20161221a_3T2,1,152
MMPFC,343_FED_20161208a_3T2,1,152
MMPFC,521_FED_20161228a_3T2,1,152
MMPFC,551_FED_20170412a_3T2,1,152
MMPFC,571_FED_20170412c_3T2,1,152
MMPFC,520_FED_20161227a_3T2,1,152
MMPFC,596_FED_20170426b_3T2,1,152
PC,288_FED_20170412b_3T2_PL2017,1,418
PC,301_FED_20161217b_3T2,1,418
PC,424_FED_20161228c_3T2,1,418
PC,426_FED_20161215c_3T2,1,418
PC,430_FED_20170426d_3T2,1,418
PC,555_FED_20170426c_3T2,1,418
PC,576_FED_20170414b_3T2,1,418
PC,577_FED_20170414c_3T2,1,418
PC,334_FED_20161221a_3T2,1,418
PC,343_FED_20161208a_3T2,1,418
PC,521_FED_20161228a_3T2,1,418
PC,551_FED_20170412a_3T2,1,418
PC,571_FED_20170412c_3T2,1,418
PC,520_FED_20161227a_3T2,1,418
PC,596_FED_20170426b_3T2,1,418
RTPJ,288_FED_20170412b_3T2_PL2017,1,341
RTPJ,301_FED_20161217b_3T2,1,341
RTPJ,424_FED_20161228c_3T2,1,341
RTPJ,426_FED_20161215c_3T2,1,341
RTPJ,430_FED_20170426d_3T2,1,341
RTPJ,555_FED_20170426c_3T2,1,341
RTPJ,576_FED_20170414b_3T2,1,341
RTPJ,577_FED_20170414c_3T2,1,341
RTPJ,334_FED_20161221a_3T2,1,341
RTPJ,343_FED_20161208a_3T2,1,341
RTPJ,521_FED_20161228a_3T2,1,341
RTPJ,551_FED_20170412a_3T2,1,341
RTPJ,571_FED_20170412c_3T2,1,341
RTPJ,520_FED_20161227a_3T2,1,341
RTPJ,596_FED_20170426b_3T2,1,341
VMPFC,288_FED_20170412b_3T2_PL2017,1,131
VMPFC,301_FED_20161217b_3T2,1,131
VMPFC,424_FED_20161228c_3T2,1,131
VMPFC,426_FED_20161215c_3T2,1,131
VMPFC,430_FED_20170426d_3T2,1,131
VMPFC,555_FED_20170426c_3T2,1,131
VMPFC,576_FED_20170414b_3T2,1,131
VMPFC,577_FED_20170414c_3T2,1,131
VMPFC,334_FED_20161221a_3T2,1,131
VMPFC,343_FED_20161208a_3T2,1,131
VMPFC,521_FED_20161228a_3T2,1,131
VMPFC,551_FED_20170412a_3T2,1,131
VMPFC,571_FED_20170412c_3T2,1,131
VMPFC,520_FED_20161227a_3T2,1,131
VMPFC,596_FED_20170426b_3T2,1,131
RSTS,288_FED_20170412b_3T2_PL2017,1,405
RSTS,301_FED_20161217b_3T2,1,405
RSTS,424_FED_20161228c_3T2,1,405
RSTS,426_FED_20161215c_3T2,1,405
RSTS,430_FED_20170426d_3T2,1,405
RSTS,555_FED_20170426c_3T2,1,405
RSTS,576_FED_20170414b_3T2,1,405
RSTS,577_FED_20170414c_3T2,1,405
RSTS,334_FED_20161221a_3T2,1,405
RSTS,343_FED_20161208a_3T2,1,405
RSTS,521_FED_20161228a_3T2,1,405
RSTS,551_FED_20170412a_3T2,1,405
RSTS,571_FED_20170412c_3T2,1,405
RSTS,520_FED_20161227a_3T2,1,405
RSTS,596_FED_20170426b_3T2,1,405
