ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
DMPFC,1885,188,1.000000,0.030906,0.030814,1.002974,14.000000,0.166447,0.166447
LTPJ,3322,332,1.000000,0.056789,0.017162,3.309007,14.000000,0.002584,0.009045
MMPFC,1525,152,1.000000,0.119636,0.033979,3.520887,14.000000,0.001696,0.009045
PC,4182,418,1.000000,0.034122,0.025786,1.323275,14.000000,0.103475,0.120720
RTPJ,3419,341,1.000000,0.084736,0.032368,2.617871,14.000000,0.010130,0.023636
VMPFC,1313,131,1.000000,0.205406,0.087408,2.349982,14.000000,0.016982,0.029719
RSTS,4051,405,1.000000,0.054003,0.037284,1.448410,14.000000,0.084764,0.118669
