ROI,Subject,Weight
DMPFC,288_FED_20170412b_3T2_PL2017,1.000000
DMPFC,301_FED_20161217b_3T2,1.000000
DMPFC,424_FED_20161228c_3T2,1.000000
DMPFC,426_FED_20161215c_3T2,1.000000
DMPFC,430_FED_20170426d_3T2,1.000000
DMPFC,555_FED_20170426c_3T2,1.000000
DMPFC,576_FED_20170414b_3T2,1.000000
DMPFC,577_FED_20170414c_3T2,1.000000
DMPFC,334_FED_20161221a_3T2,1.000000
DMPFC,343_FED_20161208a_3T2,1.000000
DMPFC,521_FED_20161228a_3T2,1.000000
DMPFC,551_FED_20170412a_3T2,1.000000
DMPFC,571_FED_20170412c_3T2,1.000000
DMPFC,520_FED_20161227a_3T2,1.000000
DMPFC,596_FED_20170426b_3T2,1.000000
LTPJ,288_FED_20170412b_3T2_PL2017,1.000000
LTPJ,301_FED_20161217b_3T2,1.000000
LTPJ,424_FED_20161228c_3T2,1.000000
LTPJ,426_FED_20161215c_3T2,1.000000
LTPJ,430_FED_20170426d_3T2,1.000000
LTPJ,555_FED_20170426c_3T2,1.000000
LTPJ,576_FED_20170414b_3T2,1.000000
LTPJ,577_FED_20170414c_3T2,1.000000
LTPJ,334_FED_20161221a_3T2,1.000000
LTPJ,343_FED_20161208a_3T2,1.000000
LTPJ,521_FED_20161228a_3T2,1.000000
LTPJ,551_FED_20170412a_3T2,1.000000
LTPJ,571_FED_20170412c_3T2,1.000000
LTPJ,520_FED_20161227a_3T2,1.000000
LTPJ,596_FED_20170426b_3T2,1.000000
MMPFC,288_FED_20170412b_3T2_PL2017,1.000000
MMPFC,301_FED_20161217b_3T2,1.000000
MMPFC,424_FED_20161228c_3T2,1.000000
MMPFC,426_FED_20161215c_3T2,1.000000
MMPFC,430_FED_20170426d_3T2,1.000000
MMPFC,555_FED_20170426c_3T2,1.000000
MMPFC,576_FED_20170414b_3T2,1.000000
MMPFC,577_FED_20170414c_3T2,1.000000
MMPFC,334_FED_20161221a_3T2,1.000000
MMPFC,343_FED_20161208a_3T2,1.000000
MMPFC,521_FED_20161228a_3T2,1.000000
MMPFC,551_FED_20170412a_3T2,1.000000
MMPFC,571_FED_20170412c_3T2,1.000000
MMPFC,520_FED_20161227a_3T2,1.000000
MMPFC,596_FED_20170426b_3T2,1.000000
PC,288_FED_20170412b_3T2_PL2017,1.000000
PC,301_FED_20161217b_3T2,1.000000
PC,424_FED_20161228c_3T2,1.000000
PC,426_FED_20161215c_3T2,1.000000
PC,430_FED_20170426d_3T2,1.000000
PC,555_FED_20170426c_3T2,1.000000
PC,576_FED_20170414b_3T2,1.000000
PC,577_FED_20170414c_3T2,1.000000
PC,334_FED_20161221a_3T2,1.000000
PC,343_FED_20161208a_3T2,1.000000
PC,521_FED_20161228a_3T2,1.000000
PC,551_FED_20170412a_3T2,1.000000
PC,571_FED_20170412c_3T2,1.000000
PC,520_FED_20161227a_3T2,1.000000
PC,596_FED_20170426b_3T2,1.000000
RTPJ,288_FED_20170412b_3T2_PL2017,1.000000
RTPJ,301_FED_20161217b_3T2,1.000000
RTPJ,424_FED_20161228c_3T2,1.000000
RTPJ,426_FED_20161215c_3T2,1.000000
RTPJ,430_FED_20170426d_3T2,1.000000
RTPJ,555_FED_20170426c_3T2,1.000000
RTPJ,576_FED_20170414b_3T2,1.000000
RTPJ,577_FED_20170414c_3T2,1.000000
RTPJ,334_FED_20161221a_3T2,1.000000
RTPJ,343_FED_20161208a_3T2,1.000000
RTPJ,521_FED_20161228a_3T2,1.000000
RTPJ,551_FED_20170412a_3T2,1.000000
RTPJ,571_FED_20170412c_3T2,1.000000
RTPJ,520_FED_20161227a_3T2,1.000000
RTPJ,596_FED_20170426b_3T2,1.000000
VMPFC,288_FED_20170412b_3T2_PL2017,1.000000
VMPFC,301_FED_20161217b_3T2,1.000000
VMPFC,424_FED_20161228c_3T2,1.000000
VMPFC,426_FED_20161215c_3T2,1.000000
VMPFC,430_FED_20170426d_3T2,1.000000
VMPFC,555_FED_20170426c_3T2,1.000000
VMPFC,576_FED_20170414b_3T2,1.000000
VMPFC,577_FED_20170414c_3T2,1.000000
VMPFC,334_FED_20161221a_3T2,1.000000
VMPFC,343_FED_20161208a_3T2,1.000000
VMPFC,521_FED_20161228a_3T2,1.000000
VMPFC,551_FED_20170412a_3T2,1.000000
VMPFC,571_FED_20170412c_3T2,1.000000
VMPFC,520_FED_20161227a_3T2,1.000000
VMPFC,596_FED_20170426b_3T2,1.000000
RSTS,288_FED_20170412b_3T2_PL2017,1.000000
RSTS,301_FED_20161217b_3T2,1.000000
RSTS,424_FED_20161228c_3T2,1.000000
RSTS,426_FED_20161215c_3T2,1.000000
RSTS,430_FED_20170426d_3T2,1.000000
RSTS,555_FED_20170426c_3T2,1.000000
RSTS,576_FED_20170414b_3T2,1.000000
RSTS,577_FED_20170414c_3T2,1.000000
RSTS,334_FED_20161221a_3T2,1.000000
RSTS,343_FED_20161208a_3T2,1.000000
RSTS,521_FED_20161228a_3T2,1.000000
RSTS,551_FED_20170412a_3T2,1.000000
RSTS,571_FED_20170412c_3T2,1.000000
RSTS,520_FED_20161227a_3T2,1.000000
RSTS,596_FED_20170426b_3T2,1.000000
