ROI,ROISize,LocalizerSize,LocalizerIntersubjectOverlap
68,77,80,70.000000
67,1885,188,1.000000
76,84,80,74.000000
3322,332,1,77,77,80,70.000000
67,1525,152,1.000000
80,67,4182,418.000000
1,82,84,80,74.000000
3419,341,1,86,77,80,70.000000
67,1313,131,1.000000
