Contrast name:,Group (linear)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],
,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,2948,294,1.000000,0.192099,0.059092,3.250860,20.000000,0.002001,0.006004
2,1627,162,1.000000,0.206748,0.081730,2.529649,20.000000,0.009964,0.011957
3,644,64,1.000000,0.246749,0.109303,2.257468,20.000000,0.017659,0.017659
4,743,74,1.000000,0.251441,0.085017,2.957542,20.000000,0.003892,0.007784
5,462,46,1.000000,0.177361,0.065187,2.720811,20.000000,0.006582,0.009873
6,370,37,1.000000,0.452140,0.086549,5.224092,20.000000,0.000021,0.000123
