Data
ROI#,ROI size,Subject#1[bel-pho/bel-pho],Subject#2[bel-pho/bel-pho],Subject#3[bel-pho/bel-pho],Subject#4[bel-pho/bel-pho],Subject#5[bel-pho/bel-pho],Subject#6[bel-pho/bel-pho],Subject#7[bel-pho/bel-pho],Subject#8[bel-pho/bel-pho],Subject#9[bel-pho/bel-pho],Subject#10[bel-pho/bel-pho]
1,1885,0.703050,0.078854,0.226396,0.690232,1.136295,0.897380,-0.289455,0.702981,0.636777,0.174747
2,3322,1.043514,-0.455578,0.670812,0.540394,0.426220,1.094879,0.289169,0.452141,0.141018,1.283005
3,1525,0.670746,-0.196780,0.646026,0.335023,0.981344,0.769144,-0.531913,0.245498,0.409432,0.679367
4,4182,0.944689,-0.127761,0.680055,0.398099,0.813056,1.106351,-0.406270,0.581745,0.665321,0.671215
5,3419,1.292166,0.011073,1.115934,0.965040,0.953832,1.064234,0.140775,0.598014,0.610781,0.690251
6,1313,0.171873,-0.116433,0.327153,0.603431,1.044924,0.969599,-0.650818,1.402974,0.481909,1.004075
7,4051,0.834705,-0.084166,0.816651,0.857754,0.885570,0.965918,0.276925,0.413557,0.248805,1.005951

