Contrast name:,Group (jokelitjoke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[2;1],c[2;2],c[2;3],c[3;1],c[3;2],c[3;3],
,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],h[1;3],stderr[1;1],stderr[1;2],stderr[1;3],T/F,dof,p,p-fdr
1,1885,188,1.000000,0.432519,-0.020486,0.453005,0.159658,0.185900,0.101692,7.883181,18.000000,0.001448,0.002534
2,3322,332,1.000000,0.701982,0.431209,0.270773,0.109126,0.107116,0.047920,17.490619,18.000000,0.000014,0.000100
3,1525,152,1.000000,-0.082451,-0.555101,0.472650,0.132388,0.164730,0.097825,7.116870,18.000000,0.002368,0.003316
4,4182,418,1.000000,0.043754,-0.172494,0.216248,0.076864,0.071157,0.037509,10.972675,18.000000,0.000251,0.000878
5,3419,341,1.000000,0.044994,-0.116760,0.161755,0.100514,0.090785,0.053853,2.990231,18.000000,0.058343,0.058343
6,1313,131,1.000000,0.272857,0.031047,0.241810,0.092642,0.090370,0.066882,4.741203,18.000000,0.013143,0.015333
7,4051,405,1.000000,0.313199,0.156078,0.157121,0.062535,0.069043,0.043076,9.821361,18.000000,0.000464,0.001082
