Contrast name:,Group (N/N)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],
,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,

Results
ROI#,ROI size,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,2948,0.869591,0.103673,8.387804,11.000000,0.000002,0.000012
2,1627,0.437023,0.060271,7.250927,11.000000,0.000008,0.000016
3,644,0.630707,0.126736,4.976538,11.000000,0.000209,0.000251
4,743,0.640795,0.112524,5.694722,11.000000,0.000070,0.000104
5,462,0.972818,0.128089,7.594876,11.000000,0.000005,0.000016
6,370,0.314092,0.102799,3.055402,11.000000,0.005471,0.005471
