Contrast name:,Group (S/S)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],
,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,

Results
ROI#,ROI size,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,2948,1.261310,0.080776,15.614932,11.000000,0.000000,0.000000
2,1627,0.958348,0.073852,12.976539,11.000000,0.000000,0.000000
3,644,0.941743,0.128616,7.322137,11.000000,0.000008,0.000009
4,743,1.049140,0.097874,10.719308,11.000000,0.000000,0.000000
5,462,1.323464,0.142262,9.303037,11.000000,0.000001,0.000001
6,370,0.758924,0.112880,6.723298,11.000000,0.000016,0.000016
