Contrast name:,Group (N/S)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],
,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,

Results
ROI#,ROI size,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,2948,0.737761,0.070962,10.396611,11.000000,0.000000,0.000002
2,1627,0.324679,0.065600,4.949352,11.000000,0.000218,0.000327
3,644,0.593709,0.119460,4.969953,11.000000,0.000211,0.000327
4,743,0.535801,0.113695,4.712629,11.000000,0.000318,0.000382
5,462,0.832640,0.098890,8.419887,11.000000,0.000002,0.000006
6,370,0.241629,0.075129,3.216188,11.000000,0.004107,0.004107
