Data
ROI#,ROI size,Subject#1[S/S],Subject#1[N/S],Subject#1[S-N/S],Subject#1[S/N],Subject#1[N/N],Subject#1[S-N/N],Subject#1[S/S-N],Subject#1[N/S-N],Subject#1[S-N/S-N],Subject#2[S/S],Subject#2[N/S],Subject#2[S-N/S],Subject#2[S/N],Subject#2[N/N],Subject#2[S-N/N],Subject#2[S/S-N],Subject#2[N/S-N],Subject#2[S-N/S-N],Subject#3[S/S],Subject#3[N/S],Subject#3[S-N/S],Subject#3[S/N],Subject#3[N/N],Subject#3[S-N/N],Subject#3[S/S-N],Subject#3[N/S-N],Subject#3[S-N/S-N],Subject#4[S/S],Subject#4[N/S],Subject#4[S-N/S],Subject#4[S/N],Subject#4[N/N],Subject#4[S-N/N],Subject#4[S/S-N],Subject#4[N/S-N],Subject#4[S-N/S-N],Subject#5[S/S],Subject#5[N/S],Subject#5[S-N/S],Subject#5[S/N],Subject#5[N/N],Subject#5[S-N/N],Subject#5[S/S-N],Subject#5[N/S-N],Subject#5[S-N/S-N],Subject#6[S/S],Subject#6[N/S],Subject#6[S-N/S],Subject#6[S/N],Subject#6[N/N],Subject#6[S-N/N],Subject#6[S/S-N],Subject#6[N/S-N],Subject#6[S-N/S-N],Subject#7[S/S],Subject#7[N/S],Subject#7[S-N/S],Subject#7[S/N],Subject#7[N/N],Subject#7[S-N/N],Subject#7[S/S-N],Subject#7[N/S-N],Subject#7[S-N/S-N],Subject#8[S/S],Subject#8[N/S],Subject#8[S-N/S],Subject#8[S/N],Subject#8[N/N],Subject#8[S-N/N],Subject#8[S/S-N],Subject#8[N/S-N],Subject#8[S-N/S-N],Subject#9[S/S],Subject#9[N/S],Subject#9[S-N/S],Subject#9[S/N],Subject#9[N/N],Subject#9[S-N/N],Subject#9[S/S-N],Subject#9[N/S-N],Subject#9[S-N/S-N],Subject#10[S/S],Subject#10[N/S],Subject#10[S-N/S],Subject#10[S/N],Subject#10[N/N],Subject#10[S-N/N],Subject#10[S/S-N],Subject#10[N/S-N],Subject#10[S-N/S-N],Subject#11[S/S],Subject#11[N/S],Subject#11[S-N/S],Subject#11[S/N],Subject#11[N/N],Subject#11[S-N/N],Subject#11[S/S-N],Subject#11[N/S-N],Subject#11[S-N/S-N],Subject#12[S/S],Subject#12[N/S],Subject#12[S-N/S],Subject#12[S/N],Subject#12[N/N],Subject#12[S-N/N],Subject#12[S/S-N],Subject#12[N/S-N],Subject#12[S-N/S-N]
1,2948,1.372319,0.896087,0.666785,0.896087,1.207287,0.124136,0.666785,0.124136,1.105320,1.482326,0.967540,0.774633,0.967540,1.300835,0.200210,0.774633,0.200210,1.337855,1.406697,0.809672,0.930000,0.809672,0.830352,0.352765,0.930000,0.352765,1.275024,1.372693,0.646880,1.255282,0.646880,0.515514,0.426650,1.255282,0.426650,1.467884,1.757999,1.009432,1.108595,1.009432,1.219151,0.421789,1.108595,0.421789,1.436962,1.007308,0.796796,0.476772,0.796796,0.898159,0.119690,0.476772,0.119690,0.918102,1.036407,0.721083,0.257102,0.721083,1.088873,-0.302257,0.257102,-0.302257,1.226771,1.389877,0.685684,0.787284,0.685684,0.828438,0.122970,0.787284,0.122970,1.171156,1.417945,0.890497,0.865774,0.890497,1.112550,0.265059,0.865774,0.265059,1.383522,0.771345,0.080886,0.821356,0.080886,0.066925,0.034684,0.821356,0.034684,0.962448,0.913953,0.797257,0.344653,0.797257,0.835973,0.111310,0.344653,0.111310,0.515728,1.206850,0.551311,1.206979,0.551311,0.531039,0.422102,1.206979,0.422102,1.420346
2,1627,0.691400,0.117179,0.665124,0.117179,0.138301,0.023697,0.665124,0.023697,0.661184,0.930322,0.626819,0.655704,0.626819,0.695694,0.234700,0.655704,0.234700,0.747513,0.831724,0.324401,0.940420,0.324401,0.098756,0.378895,0.940420,0.378895,0.999130,1.116613,0.506034,1.067324,0.506034,0.270705,0.433822,1.067324,0.433822,1.083999,1.447253,0.181069,1.224074,0.181069,0.574350,-0.097077,1.224074,-0.097077,1.454473,1.194477,0.387252,1.027861,0.387252,0.575572,0.066078,1.027861,0.066078,1.645942,0.583723,0.175115,0.487595,0.175115,0.347593,-0.172558,0.487595,-0.172558,0.970259,0.827506,0.046107,0.790537,0.046107,0.340281,-0.201495,0.790537,-0.201495,1.125858,0.989226,0.537379,0.398367,0.537379,0.708174,-0.172374,0.398367,-0.172374,0.828690,0.643051,-0.055458,0.615739,-0.055458,0.497970,-0.480990,0.615739,-0.480990,1.203392,1.135762,0.580804,0.738872,0.580804,0.641762,0.097878,0.738872,0.097878,0.841220,1.109121,0.469445,0.961438,0.469445,0.355117,0.343301,0.961438,0.343301,0.959966
3,644,0.506287,0.039874,0.613177,0.039874,0.100933,-0.014500,0.613177,-0.014500,0.614035,0.470457,0.500051,-0.004222,0.500051,0.621216,-0.161188,-0.004222,-0.161188,0.082082,0.947423,0.720427,0.068676,0.720427,0.415158,0.305053,0.068676,0.305053,-0.518342,1.640110,1.566819,-0.298387,1.566819,1.531407,-0.320892,-0.298387,-0.320892,0.169651,1.746096,0.886442,1.352966,0.886442,1.107212,0.364239,1.352966,0.364239,2.036264,0.298552,0.089469,0.239822,0.089469,0.017145,-0.200355,0.239822,-0.200355,0.828746,1.216469,0.449246,0.726654,0.449246,0.538658,-0.062299,0.726654,-0.062299,1.220987,0.831719,0.478263,0.372186,0.478263,0.577720,-0.124369,0.372186,-0.124369,0.670662,1.100153,0.954712,0.507681,0.954712,1.147345,0.279696,0.507681,0.279696,0.493327,0.610992,0.514604,0.248374,0.514604,0.681640,-0.050692,0.248374,-0.050692,0.437652,0.958921,0.635441,0.503910,0.635441,0.461792,0.281419,0.503910,0.281419,0.168875,0.973735,0.289164,1.035249,0.289164,0.368257,0.111075,1.035249,0.111075,1.458807
4,743,1.092067,0.084138,0.970231,0.084138,0.277647,-0.092615,0.970231,-0.092615,0.846004,1.276436,1.032312,0.759437,1.032312,0.826579,0.675810,0.759437,0.675810,0.497853,0.882380,0.196305,0.836193,0.196305,0.253682,-0.030628,0.836193,-0.030628,1.016803,1.190534,0.625058,0.848116,0.625058,0.500440,0.394016,0.848116,0.394016,0.747086,1.592946,0.237789,1.370059,0.237789,0.715593,-0.072441,1.370059,-0.072441,1.588748,0.714933,0.219176,0.563911,0.219176,0.555135,-0.253952,0.563911,-0.253952,1.036518,1.008019,0.760601,0.358596,0.760601,0.742170,0.147654,0.358596,0.147654,0.339107,1.258698,0.805823,0.509914,0.805823,0.866432,0.134850,0.509914,0.134850,0.616313,1.449883,1.297654,0.616247,1.297654,1.579892,0.267057,0.616247,0.267057,0.933835,0.465254,0.083536,0.637532,0.083536,0.042288,0.070876,0.637532,0.070876,1.013611,1.065837,0.675807,0.542190,0.675807,0.764857,0.061284,0.542190,0.061284,0.487525,0.592699,0.411411,0.265886,0.411411,0.564822,0.012270,0.265886,0.012270,0.243597
5,462,0.555006,0.124738,0.531649,0.124738,0.209084,-0.068877,0.531649,-0.068877,0.738747,1.523717,0.969039,0.574267,0.969039,1.257103,0.037356,0.574267,0.037356,1.641670,2.096475,0.995993,1.768542,0.995993,0.958109,0.786220,1.768542,0.786220,1.953706,1.643559,0.710986,1.434628,0.710986,0.505118,0.488286,1.434628,0.488286,1.619191,1.589379,0.952889,0.878246,0.952889,1.659143,0.236367,0.878246,0.236367,1.304249,1.361629,1.238507,0.153712,1.238507,1.364459,-0.091730,0.153712,-0.091730,0.451335,0.810521,0.751716,0.311846,0.751716,1.087761,0.023713,0.311846,0.023713,0.513265,1.767699,0.735966,1.380248,0.735966,0.788466,0.456184,1.380248,0.456184,1.608619,1.120689,0.971881,0.975660,0.971881,1.129431,0.356602,0.975660,0.356602,1.539164,0.689099,0.277442,0.380339,0.277442,0.305482,-0.009080,0.380339,-0.009080,0.398652,0.936628,1.011742,0.018193,1.011742,1.075454,-0.074156,0.018193,-0.074156,-0.042358,1.787171,1.250782,1.341668,1.250782,1.334200,0.818987,1.341668,0.818987,1.266663
6,370,0.264441,-0.053219,0.305668,-0.053219,0.394891,-0.464765,0.305668,-0.464765,0.881808,0.350668,0.018652,0.568498,0.018652,-0.358953,0.384191,0.568498,0.384191,0.524449,1.095439,0.547084,1.063351,0.547084,0.357503,0.496964,1.063351,0.496964,1.100718,1.114783,0.466844,0.705829,0.466844,0.706413,-0.009616,0.705829,-0.009616,0.781929,1.504545,0.535510,1.351597,0.535510,0.117898,0.607428,1.351597,0.607428,1.115877,0.853067,-0.262895,1.031555,-0.262895,0.319408,-0.432616,1.031555,-0.432616,1.467918,0.907854,0.205224,0.929494,0.205224,0.147851,0.122829,0.929494,0.122829,1.022987,0.322930,0.378681,-0.091628,0.378681,0.886085,-0.599873,-0.091628,-0.599873,0.596536,0.269543,0.012260,0.466460,0.012260,0.405496,-0.384400,0.466460,-0.384400,1.069080,0.739574,0.443489,0.359333,0.443489,0.700127,-0.283308,0.359333,-0.283308,0.646885,0.847636,0.270560,0.766890,0.270560,-0.160398,0.296762,0.766890,0.296762,0.550445,0.836603,0.337357,0.702813,0.337357,0.252786,0.181152,0.702813,0.181152,0.698410

