Contrast name:,Group (S/S-N)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,

Results
ROI#,ROI size,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,2948,0.791268,0.091867,8.613195,11.000000,0.000002,0.000005
2,1627,0.797755,0.072018,11.077091,11.000000,0.000000,0.000001
3,644,0.447174,0.131133,3.410075,11.000000,0.002912,0.002912
4,743,0.689859,0.085293,8.088153,11.000000,0.000003,0.000006
5,462,0.812416,0.164509,4.938437,11.000000,0.000222,0.000266
6,370,0.679988,0.113116,6.011428,11.000000,0.000044,0.000066
