Contrast name:,Group (joke)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,1.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,1.020193,0.147789,6.903015,20.000000,0.000001,0.000002
2,1399,139,1.000000,0.722618,0.129645,5.573828,20.000000,0.000009,0.000019
3,4863,486,1.000000,0.506429,0.129816,3.901138,20.000000,0.000443,0.000665
4,5104,510,1.000000,0.247182,0.103997,2.376808,20.000000,0.013780,0.019080
5,888,88,1.000000,0.155794,0.094135,1.654998,20.000000,0.056767,0.068120
6,1015,101,1.000000,0.155240,0.071800,2.162110,20.000000,0.021453,0.027583
7,3526,352,1.000000,1.257315,0.155762,8.072042,20.000000,0.000000,0.000000
8,3381,338,1.000000,0.597778,0.109030,5.482708,20.000000,0.000011,0.000021
9,1858,185,1.000000,0.732843,0.088093,8.319002,20.000000,0.000000,0.000000
10,1770,177,1.000000,0.520699,0.083897,6.206438,20.000000,0.000002,0.000006
11,2147,214,1.000000,1.141833,0.123499,9.245709,20.000000,0.000000,0.000000
12,2371,237,1.000000,0.903917,0.120060,7.528882,20.000000,0.000000,0.000001
13,2447,244,1.000000,0.501677,0.088407,5.674616,20.000000,0.000007,0.000017
14,1345,134,1.000000,0.100116,0.089161,1.122866,20.000000,0.137397,0.145479
15,2065,206,1.000000,0.932883,0.147397,6.329061,20.000000,0.000002,0.000005
16,2222,222,1.000000,0.368475,0.083698,4.402407,20.000000,0.000137,0.000225
17,1400,140,1.000000,0.129669,0.089534,1.448267,20.000000,0.081520,0.091709
18,1313,131,1.000000,-0.023871,0.066238,-0.360388,20.000000,0.638832,0.638832
