Contrast name:,Group (jokelitjoke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[2;1],c[2;2],c[2;3],c[3;1],c[3;2],c[3;3],
,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],h[1;3],stderr[1;1],stderr[1;2],stderr[1;3],T/F,dof,p,p-fdr
1,2948,50,1.000000,0.434048,0.341732,0.092315,0.082920,0.083880,0.041108,8.582696,18.000000,0.000945,0.001417
2,1627,50,1.000000,0.601090,0.507607,0.093482,0.075495,0.071049,0.040496,19.177067,18.000000,0.000008,0.000036
3,644,50,1.000000,0.075127,-0.016288,0.091415,0.084108,0.075361,0.040640,1.522373,18.000000,0.242814,0.242814
4,743,50,1.000000,0.648429,0.557628,0.090801,0.092154,0.101580,0.046544,15.693087,18.000000,0.000029,0.000058
5,462,50,1.000000,0.426502,0.342288,0.084214,0.099594,0.099554,0.041571,5.900888,18.000000,0.005477,0.006572
6,370,50,1.000000,0.948055,0.663807,0.284247,0.138464,0.153458,0.072592,17.985263,18.000000,0.000012,0.000036
