Contrast name:,Group (ODD_joke-litEVEN_joke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[2;1],c[2;2],
,1.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],stderr[1;1],stderr[1;2],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.128159,0.248774,0.055303,0.063247,7.726113,19.000000,0.003504,0.006663
2,1399,139,1.000000,0.130765,0.150366,0.053831,0.079492,3.139646,19.000000,0.066358,0.070261
3,4863,486,1.000000,0.262204,0.405748,0.073149,0.106276,10.696195,19.000000,0.000773,0.002784
4,5104,510,1.000000,0.156735,0.194964,0.064499,0.086229,3.349680,19.000000,0.056741,0.063834
5,888,88,1.000000,0.123338,0.248437,0.089989,0.074377,5.348594,19.000000,0.014367,0.019893
6,1015,101,1.000000,0.018326,0.129368,0.068849,0.048390,4.021842,19.000000,0.034957,0.042651
7,3526,352,1.000000,0.132473,0.290531,0.055988,0.071526,8.755660,19.000000,0.002019,0.004542
8,3381,338,1.000000,0.071477,0.150656,0.042300,0.061913,2.838980,19.000000,0.083411,0.083411
9,1858,185,1.000000,0.207533,0.262261,0.049714,0.064544,12.675851,19.000000,0.000318,0.001431
10,1770,177,1.000000,0.110137,0.120428,0.039883,0.074170,3.998213,19.000000,0.035543,0.042651
11,2147,214,1.000000,0.303435,0.350326,0.061129,0.083188,14.577713,19.000000,0.000146,0.000873
12,2371,237,1.000000,0.197860,0.254356,0.055532,0.068697,7.626958,19.000000,0.003702,0.006663
13,2447,244,1.000000,0.200849,0.247845,0.042973,0.036105,24.490431,19.000000,0.000006,0.000099
14,1345,134,1.000000,0.153847,0.199528,0.048166,0.064533,6.721149,19.000000,0.006203,0.010150
15,2065,206,1.000000,0.125700,0.235951,0.044020,0.053901,10.118802,19.000000,0.001019,0.003032
16,2222,222,1.000000,0.146312,0.218012,0.041097,0.075908,6.524303,19.000000,0.006966,0.010449
17,1615,161,1.000000,0.257264,0.327469,0.046574,0.088373,15.861897,19.000000,0.000089,0.000800
18,1958,195,1.000000,0.151204,0.173020,0.034312,0.059902,9.818852,19.000000,0.001179,0.003032
