Contrast name:,Group (ODD_joke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],
,1.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.128159,0.055303,2.317395,20.000000,0.015600,0.018720
2,1399,139,1.000000,0.130765,0.053831,2.429159,20.000000,0.012341,0.017088
3,4863,486,1.000000,0.262204,0.073149,3.584533,20.000000,0.000927,0.002207
4,5104,510,1.000000,0.156735,0.064499,2.430056,20.000000,0.012318,0.017088
5,888,88,1.000000,0.123338,0.089989,1.370590,20.000000,0.092845,0.098307
6,1015,101,1.000000,0.018326,0.068849,0.266177,20.000000,0.396414,0.396414
7,3526,352,1.000000,0.132473,0.055988,2.366076,20.000000,0.014093,0.018120
8,3381,338,1.000000,0.071477,0.042300,1.689738,20.000000,0.053304,0.059966
9,1858,185,1.000000,0.207533,0.049714,4.174515,20.000000,0.000234,0.000842
10,1770,177,1.000000,0.110137,0.039883,2.761527,20.000000,0.006018,0.009848
11,2147,214,1.000000,0.303435,0.061129,4.963835,20.000000,0.000037,0.000336
12,2371,237,1.000000,0.197860,0.055532,3.562957,20.000000,0.000974,0.002207
13,2447,244,1.000000,0.200849,0.042973,4.673857,20.000000,0.000073,0.000438
14,1345,134,1.000000,0.153847,0.048166,3.194104,20.000000,0.002279,0.004557
15,2065,206,1.000000,0.125700,0.044020,2.855509,20.000000,0.004888,0.008799
16,2222,222,1.000000,0.146312,0.041097,3.560194,20.000000,0.000981,0.002207
17,1615,161,1.000000,0.257264,0.046574,5.523810,20.000000,0.000010,0.000188
18,1958,195,1.000000,0.151204,0.034312,4.406683,20.000000,0.000136,0.000612
