"","Group","ROIName","ROI","contrastName","themean","sterr","se_up","se_down"
"1","LHLang","LocalizerAverage",0,"joke",1.35200373412698,0.0909196369409631,1.44292337106795,1.26108409718602
"2","LHLang","LocalizerAverage",0,"joke-lit",0.174383361111111,0.041311080071544,0.215694441182655,0.133072281039567
"3","LHLang","LocalizerAverage",0,"lit",1.17762039285714,0.09848161505805,1.27610200791519,1.07913877779909
"4","MDLeft","LocalizerAverage",0,"joke",0.773671486772487,0.0985960639169094,0.872267550689396,0.675075422855577
"5","MDLeft","LocalizerAverage",0,"joke-lit",0.240497544973545,0.0446615456819462,0.285159090655491,0.195835999291599
"6","MDLeft","LocalizerAverage",0,"lit",0.533173936507937,0.0941581207958139,0.62733205730375,0.439015815712123
"7","MDRight","LocalizerAverage",0,"joke",0.444741595238095,0.0775977283365438,0.522339323574639,0.367143866901551
"8","MDRight","LocalizerAverage",0,"joke-lit",0.152093634920635,0.0402797266780639,0.192373361598699,0.111813908242571
"9","MDRight","LocalizerAverage",0,"lit",0.292647992063492,0.0808631163035886,0.373511108367081,0.211784875759903
"10","RHLang","LocalizerAverage",0,"joke",0.504397670634921,0.0629927358987445,0.567390406533665,0.441404934736176
"11","RHLang","LocalizerAverage",0,"joke-lit",0.120666932539683,0.0353243888829005,0.155991321422583,0.085342543656782
"12","RHLang","LocalizerAverage",0,"lit",0.383730753968254,0.0697275111475736,0.453458265115828,0.31400324282068
"13","ToM","LocalizerAverage",0,"high",0.342991410714286,0.115513881713823,0.458505292428109,0.227477529000463
"14","ToM","LocalizerAverage",0,"joke",0.261605375,0.0851084081719272,0.346713783171927,0.176496966828073
"15","ToM","LocalizerAverage",0,"joke-lit",0.281566314285714,0.061686947294078,0.343253261579792,0.219879366991636
"16","ToM","LocalizerAverage",0,"lit",-0.0199609392857143,0.0995955336134076,0.0796345943276933,-0.119556472899122
"17","ToM","LocalizerAverage",0,"low",0.00714067857142857,0.0953773590704474,0.102518037641876,-0.0882366804990188
"18","ToM","LocalizerAverage",0,"med",0.231574957142857,0.08805008361283,0.319625040755687,0.143524873530027
