"","testName","modelName","Df","AIC","BIC","logLik","deviance","Chisq","Chi Df","Pr(>Chisq)","ROIMask","localizer","task"
"23","Jokes-ToM-vs-LHLang","m1",7,-35.137086848008,-9.04915261489761,24.568543424004,-49.137086848008,1.0862274623116,1,0.297308595375456,"LHLang","Lang","Jokes"
"24","Jokes-ToM-vs-MDLeft","m1",7,-124.27691546694,-96.8823944274721,69.13845773347,-138.27691546694,0.247481439812333,1,0.618854082768912,"MDLeft","MD","Jokes"
"25","Jokes-ToM-vs-MDRight","m1",7,-153.668407888221,-126.273886848754,83.8342039441107,-167.668407888221,4.66380109549567,1,0.0308049232617163,"MDRight","MD","Jokes"
"26","Jokes-ToM-vs-RHLang","m1",7,-77.0854880634452,-50.9975538303348,45.5427440317226,-91.0854880634452,3.99416707580396,1,0.0456580139020124,"RHLang","Lang","Jokes"
"27","LHLangtoJokes","m1",9,500.433930238957,533.586148145005,-241.216965119479,482.433930238957,7.9395680723224,1,0.00483653774977746,"LHLang","Lang","Jokes"
"28","LHLangtoLang","m1",9,461.045387256897,494.197605162945,-221.522693628448,443.045387256897,20.7387440492497,1,5.26400822276393e-06,"LHLang","Lang","Lang"
"29","MDLefttoJokes","m1",9,442.41908829637,478.781380697867,-212.209544148185,424.41908829637,21.8996726644003,1,2.87282923060661e-06,"MDLeft","MD","Jokes"
"30","MDLtoMD","m1",9,540.615973513552,573.950015785458,-261.307986756776,522.615973513552,18.7297020628561,1,1.5061803970859e-05,"MDLeft","MD","MD"
"31","MDRighttoJokes","m1",9,258.148504580308,294.510796981804,-120.074252290154,240.148504580308,11.4038513027324,1,0.000732920050011359,"MDRight","MD","Jokes"
"32","MDRtoMD","m1",9,536.399230289802,569.733272561707,-259.199615144901,518.399230289802,18.1171370133466,1,2.07723503146388e-05,"MDRight","MD","MD"
"33","RHLangtoJokes","m1",9,253.65209731017,286.804315216218,-117.826048655085,235.65209731017,6.39668377770474,1,0.0114333736023369,"RHLang","Lang","Jokes"
"34","RHLangtoLang","m1",9,229.425795271948,262.578013177996,-105.712897635974,211.425795271948,11.9237998094928,1,0.000554213210673756,"RHLang","Lang","Lang"
"35","ToMtoCloudy","m1",9,437.205724392783,468.531474702861,-209.602862196391,419.205724392783,18.0401068297984,1,2.16299715494419e-05,"ToM","ToM","Cloudy"
"36","ToMtoJokes","m1",9,399.03671260483,432.951601566974,-190.518356302415,381.03671260483,13.0902793482735,1,0.000296832082923193,"ToM","ToM","Jokes"
"37","ToMtoJokesCustom","m1",16,695.578180114316,762.358757776747,-331.789090057158,663.578180114316,11.7875776685376,2,0.00275651291606793,"ToM","ToM","JokesCustom"
"38","ToMtoToM","m1",9,420.271491662343,452.723710259007,-201.135745831172,402.271491662343,21.2651190609812,1,3.99943291777579e-06,"ToM","ToM","ToM"
