Contrast name:,Group (joke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],
,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1885,50,1.000000,0.472918,0.123761,3.821237,19.000000,0.000576,0.001008
2,3322,50,1.000000,0.282582,0.050412,5.605424,19.000000,0.000010,0.000038
3,1525,50,1.000000,0.506099,0.115821,4.369665,19.000000,0.000165,0.000385
4,4182,50,1.000000,0.228793,0.040970,5.584388,19.000000,0.000011,0.000038
5,3419,50,1.000000,0.165570,0.074466,2.223438,19.000000,0.019257,0.019257
6,1313,50,1.000000,0.206234,0.070780,2.913734,19.000000,0.004453,0.005195
7,4051,50,1.000000,0.199273,0.064070,3.110233,19.000000,0.002881,0.004033
