Contrast name:,Group (jokelitjoke-lit)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[2;1],c[2;2],c[2;3],c[3;1],c[3;2],c[3;3],
,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],h[1;3],stderr[1;1],stderr[1;2],stderr[1;3],T/F,dof,p,p-fdr
1,1885,50,1.000000,0.374283,-0.098635,0.472918,0.216961,0.269145,0.123761,6.195419,17.000000,0.004865,0.008514
2,3322,50,1.000000,0.760974,0.478392,0.282582,0.113705,0.119117,0.050412,20.484386,17.000000,0.000007,0.000049
3,1525,50,1.000000,0.028793,-0.477306,0.506099,0.145059,0.166813,0.115821,5.831402,17.000000,0.006265,0.008771
4,4182,50,1.000000,0.021940,-0.206853,0.228793,0.086333,0.077403,0.040970,11.140226,17.000000,0.000278,0.000973
5,3419,50,1.000000,-0.047629,-0.213199,0.165570,0.126167,0.122490,0.074466,1.915404,17.000000,0.165412,0.165412
6,1313,50,1.000000,0.339968,0.133734,0.206234,0.114257,0.104447,0.070780,3.586756,17.000000,0.035653,0.041595
7,4051,50,1.000000,0.360213,0.160940,0.199273,0.087308,0.118297,0.064070,9.919692,17.000000,0.000519,0.001210
